# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.375374351826461E+00;1.573705787728959E+02;
1.001000000000000E+09;-1.401470115333803E+00;1.569027573879758E+02;
1.002000000000000E+09;-1.431580392370753E+00;1.564270712460547E+02;
1.003000000000000E+09;-1.456862742771674E+00;1.559347521075118E+02;
1.004000000000000E+09;-1.487718918313187E+00;1.554466065044542E+02;
1.005000000000000E+09;-1.517107246423171E+00;1.549969623758893E+02;
1.006000000000000E+09;-1.550339877632100E+00;1.544800765110566E+02;
1.007000000000000E+09;-1.585551481017589E+00;1.539516187744821E+02;
1.008000000000000E+09;-1.621883030999332E+00;1.534481528710408E+02;
1.009000000000000E+09;-1.662237033024973E+00;1.529353800008369E+02;
1.010000000000000E+09;-1.697986190986622E+00;1.523956654816805E+02;
1.011000000000000E+09;-1.740309165578825E+00;1.518447487574955E+02;
1.012000000000000E+09;-1.782692898561322E+00;1.513032174986842E+02;
1.013000000000000E+09;-1.822768742250452E+00;1.507602820622704E+02;
1.014000000000000E+09;-1.867902369307203E+00;1.501952104023535E+02;
1.015000000000000E+09;-1.914496194778840E+00;1.496419596534314E+02;
1.016000000000000E+09;-1.961390915184529E+00;1.490787180030731E+02;
1.017000000000000E+09;-2.006489032610737E+00;1.484926877779462E+02;
1.018000000000000E+09;-2.058332025036720E+00;1.478964129230862E+02;
1.019000000000000E+09;-2.110601975792857E+00;1.473063358205121E+02;
1.020000000000000E+09;-2.161044201813045E+00;1.467427786563421E+02;
1.021000000000000E+09;-2.211654702560866E+00;1.461411017322029E+02;
1.022000000000000E+09;-2.265390582149624E+00;1.455288420739844E+02;
1.023000000000000E+09;-2.319480084346227E+00;1.449507353191641E+02;
1.024000000000000E+09;-2.373862399785876E+00;1.443304280852016E+02;
1.025000000000000E+09;-2.431276190265899E+00;1.437152441860178E+02;
1.026000000000000E+09;-2.487229542478888E+00;1.431027953012305E+02;
1.027000000000000E+09;-2.541070225480176E+00;1.425250337491958E+02;
1.028000000000000E+09;-2.598725027075395E+00;1.418676489962616E+02;
1.029000000000000E+09;-2.652786006175423E+00;1.412926941455080E+02;
1.030000000000000E+09;-2.711433249920857E+00;1.406627342614279E+02;
1.031000000000000E+09;-2.770173665654397E+00;1.400643502250340E+02;
1.032000000000000E+09;-2.831119486601533E+00;1.394223753104271E+02;
1.033000000000000E+09;-2.884653131627875E+00;1.387988537565821E+02;
1.034000000000000E+09;-2.940113608940672E+00;1.381953447346443E+02;
1.035000000000000E+09;-2.994248426457164E+00;1.376177283579782E+02;
1.036000000000000E+09;-3.055774443391730E+00;1.370038877152276E+02;
1.037000000000000E+09;-3.112566619469859E+00;1.363720784625728E+02;
1.038000000000000E+09;-3.169321049363347E+00;1.358050110358568E+02;
1.039000000000000E+09;-3.224445647273442E+00;1.352240284431863E+02;
1.040000000000000E+09;-3.275003287112891E+00;1.346437720119800E+02;
1.041000000000000E+09;-3.333881596421679E+00;1.340872143186949E+02;
1.042000000000000E+09;-3.380355423263761E+00;1.335432196601846E+02;
1.043000000000000E+09;-3.439926031672309E+00;1.329197217125696E+02;
1.044000000000000E+09;-3.490302946366540E+00;1.324058571794344E+02;
1.045000000000000E+09;-3.541943854252148E+00;1.318719880969709E+02;
1.046000000000000E+09;-3.586487761750789E+00;1.313378587346521E+02;
1.047000000000000E+09;-3.635169518840367E+00;1.307651320198323E+02;
1.048000000000000E+09;-3.683495630820297E+00;1.302290196316620E+02;
1.049000000000000E+09;-3.725961693145112E+00;1.297037828638858E+02;
1.050000000000000E+09;-3.770812235271572E+00;1.291698096576917E+02;
1.051000000000000E+09;-3.816176801938433E+00;1.286513411779383E+02;
1.052000000000000E+09;-3.864110350976779E+00;1.281246337784488E+02;
1.053000000000000E+09;-3.911168470610356E+00;1.276053603170438E+02;
1.054000000000000E+09;-3.960731725922176E+00;1.270670192538870E+02;
1.055000000000000E+09;-3.996944300130791E+00;1.265290393933851E+02;
1.056000000000000E+09;-4.047798043458309E+00;1.260502098644786E+02;
1.057000000000000E+09;-4.095616901491012E+00;1.255343427894414E+02;
1.058000000000000E+09;-4.142155610036127E+00;1.250149890971399E+02;
1.059000000000000E+09;-4.193101406405276E+00;1.245005405073216E+02;
1.060000000000000E+09;-4.246220829445654E+00;1.239939997607818E+02;
