# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.304224432187529E+00;1.575754008598209E+02;
1.001000000000000E+09;-1.329393183211682E+00;1.571064754053136E+02;
1.002000000000000E+09;-1.355492538109773E+00;1.566117493987687E+02;
1.003000000000000E+09;-1.380725342483331E+00;1.561307221445290E+02;
1.004000000000000E+09;-1.413451743979565E+00;1.556291865331918E+02;
1.005000000000000E+09;-1.445063144183596E+00;1.551763119303922E+02;
1.006000000000000E+09;-1.476451967979803E+00;1.546506754629084E+02;
1.007000000000000E+09;-1.514838427316885E+00;1.541351714001155E+02;
1.008000000000000E+09;-1.547823429147336E+00;1.536357222685008E+02;
1.009000000000000E+09;-1.583850442845575E+00;1.531301189177295E+02;
1.010000000000000E+09;-1.623367952991174E+00;1.525784887248580E+02;
1.011000000000000E+09;-1.664545923274365E+00;1.520237614425482E+02;
1.012000000000000E+09;-1.702463571652487E+00;1.514902907907787E+02;
1.013000000000000E+09;-1.744582602538410E+00;1.509367470001278E+02;
1.014000000000000E+09;-1.786816256594141E+00;1.503716485458914E+02;
1.015000000000000E+09;-1.832705174557466E+00;1.498077928446673E+02;
1.016000000000000E+09;-1.879796570339190E+00;1.492381167370146E+02;
1.017000000000000E+09;-1.926762986549836E+00;1.486535518521214E+02;
1.018000000000000E+09;-1.975449660149810E+00;1.480389699893343E+02;
1.019000000000000E+09;-2.026896383266564E+00;1.474459465487049E+02;
1.020000000000000E+09;-2.076007748044176E+00;1.468533497738157E+02;
1.021000000000000E+09;-2.129149666874776E+00;1.462242912260724E+02;
1.022000000000000E+09;-2.179609053403338E+00;1.455974876812998E+02;
1.023000000000000E+09;-2.238882212667204E+00;1.449963067359088E+02;
1.024000000000000E+09;-2.296039284695317E+00;1.443755807252542E+02;
1.025000000000000E+09;-2.354104515652709E+00;1.437373586502101E+02;
1.026000000000000E+09;-2.415076364149055E+00;1.431167097816906E+02;
1.027000000000000E+09;-2.471209394253997E+00;1.425369851900251E+02;
1.028000000000000E+09;-2.530521400516803E+00;1.418937896255519E+02;
1.029000000000000E+09;-2.585945862763022E+00;1.413224399781172E+02;
1.030000000000000E+09;-2.648039069632207E+00;1.406977656907785E+02;
1.031000000000000E+09;-2.705858888493421E+00;1.400627034116280E+02;
1.032000000000000E+09;-2.764689496248758E+00;1.394426565532750E+02;
