# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.301540558565206E+00;1.580853210424424E+02;
1.001000000000000E+09;-1.321936659000087E+00;1.576506358314478E+02;
1.002000000000000E+09;-1.342072502244285E+00;1.571808965972136E+02;
1.003000000000000E+09;-1.369466320192173E+00;1.566877979914705E+02;
1.004000000000000E+09;-1.397685668059309E+00;1.562161457278110E+02;
1.005000000000000E+09;-1.423423523452271E+00;1.557708382587562E+02;
1.006000000000000E+09;-1.451025623868717E+00;1.552485052845408E+02;
1.007000000000000E+09;-1.482911357384772E+00;1.547460877712636E+02;
1.008000000000000E+09;-1.513638141074185E+00;1.542752562003473E+02;
1.009000000000000E+09;-1.544197425152572E+00;1.537546496924219E+02;
1.010000000000000E+09;-1.577246243486689E+00;1.532214670008593E+02;
1.011000000000000E+09;-1.618306751931770E+00;1.526711397718240E+02;
1.012000000000000E+09;-1.652547227243647E+00;1.521530391896066E+02;
1.013000000000000E+09;-1.684731257591666E+00;1.516184266906011E+02;
1.014000000000000E+09;-1.726114873005698E+00;1.510472612257624E+02;
1.015000000000000E+09;-1.766633967847089E+00;1.505008659535393E+02;
1.016000000000000E+09;-1.807795368484666E+00;1.499451988661131E+02;
1.017000000000000E+09;-1.847440113692894E+00;1.493455940512938E+02;
1.018000000000000E+09;-1.892301857730082E+00;1.487611286524317E+02;
1.019000000000000E+09;-1.936833237151352E+00;1.481694083350316E+02;
1.020000000000000E+09;-1.981931347342780E+00;1.475918560818994E+02;
1.021000000000000E+09;-2.026819660460959E+00;1.469783017398330E+02;
1.022000000000000E+09;-2.074078530047815E+00;1.463783390461776E+02;
1.023000000000000E+09;-2.124779349553751E+00;1.457743174860358E+02;
1.024000000000000E+09;-2.172183005992150E+00;1.451553619021585E+02;
1.025000000000000E+09;-2.224825279861013E+00;1.445085490903678E+02;
1.026000000000000E+09;-2.275536286495333E+00;1.438968276329473E+02;
1.027000000000000E+09;-2.322267950190101E+00;1.432916405848330E+02;
1.028000000000000E+09;-2.373410475516497E+00;1.426068576303805E+02;
1.029000000000000E+09;-2.426672648832037E+00;1.420248487518138E+02;
1.030000000000000E+09;-2.478151978760553E+00;1.413910125117798E+02;
1.031000000000000E+09;-2.534035978131770E+00;1.407779369124506E+02;
1.032000000000000E+09;-2.584844605112714E+00;1.401216547204861E+02;
1.033000000000000E+09;-2.635807908974203E+00;1.394889846126736E+02;
1.034000000000000E+09;-2.683577688206635E+00;1.388724796476779E+02;
1.035000000000000E+09;-2.738957733323212E+00;1.382775239675768E+02;
1.036000000000000E+09;-2.787832832004784E+00;1.376407903319276E+02;
1.037000000000000E+09;-2.837042011819948E+00;1.370046442843664E+02;
1.038000000000000E+09;-2.888044544843158E+00;1.364211169878126E+02;
1.039000000000000E+09;-2.939856488480927E+00;1.358007514163220E+02;
1.040000000000000E+09;-2.988251486716024E+00;1.351937164544600E+02;
1.041000000000000E+09;-3.038191857755598E+00;1.346115961427881E+02;
1.042000000000000E+09;-3.090399945995210E+00;1.340135713067844E+02;
1.043000000000000E+09;-3.138256985768191E+00;1.333955842358638E+02;
1.044000000000000E+09;-3.183588056956879E+00;1.328018228621422E+02;
1.045000000000000E+09;-3.234284555549423E+00;1.322853353471257E+02;
1.046000000000000E+09;-3.277032160458313E+00;1.317167400902617E+02;
1.047000000000000E+09;-3.327155878916132E+00;1.311627804796401E+02;
