# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.287780503479020E+00;1.579715638091239E+02;
1.001000000000000E+09;-1.310744724336358E+00;1.574828673875662E+02;
1.002000000000000E+09;-1.341532077212471E+00;1.569995090389132E+02;
1.003000000000000E+09;-1.365594122614866E+00;1.565194873556853E+02;
1.004000000000000E+09;-1.392020580117926E+00;1.560062176963193E+02;
1.005000000000000E+09;-1.417978083205775E+00;1.555552137946608E+02;
1.006000000000000E+09;-1.446958657747863E+00;1.550189562605619E+02;
1.007000000000000E+09;-1.481729911531222E+00;1.545153690535349E+02;
1.008000000000000E+09;-1.513823732457749E+00;1.540165113047985E+02;
1.009000000000000E+09;-1.547530912215663E+00;1.535074348935055E+02;
1.010000000000000E+09;-1.582275568082210E+00;1.529670755949930E+02;
1.011000000000000E+09;-1.624520235367505E+00;1.524155058425710E+02;
1.012000000000000E+09;-1.658082831397146E+00;1.518736357886820E+02;
1.013000000000000E+09;-1.695619575025261E+00;1.513298721276185E+02;
1.014000000000000E+09;-1.736962627983593E+00;1.507549292278849E+02;
1.015000000000000E+09;-1.777623826401282E+00;1.502153616455697E+02;
1.016000000000000E+09;-1.818983686553930E+00;1.496550953292416E+02;
1.017000000000000E+09;-1.862669648701939E+00;1.490492336720863E+02;
1.018000000000000E+09;-1.906953797634603E+00;1.484596485933196E+02;
1.019000000000000E+09;-1.954458742184062E+00;1.478802157012471E+02;
1.020000000000000E+09;-1.999703043855512E+00;1.472842647777488E+02;
1.021000000000000E+09;-2.047242664400175E+00;1.466819296527280E+02;
1.022000000000000E+09;-2.092497728233714E+00;1.460806622411654E+02;
1.023000000000000E+09;-2.143919535924597E+00;1.454882646461727E+02;
1.024000000000000E+09;-2.190905430752911E+00;1.448654937342999E+02;
1.025000000000000E+09;-2.241869200368742E+00;1.442525769939550E+02;
1.026000000000000E+09;-2.293714780043557E+00;1.436257009338303E+02;
1.027000000000000E+09;-2.338650018841339E+00;1.430251400090727E+02;
1.028000000000000E+09;-2.392513471836498E+00;1.423573564642325E+02;
1.029000000000000E+09;-2.441302588516392E+00;1.417639001671959E+02;
1.030000000000000E+09;-2.492443726754028E+00;1.410976156823153E+02;
1.031000000000000E+09;-2.545455089969835E+00;1.404604177878079E+02;
1.032000000000000E+09;-2.599545661180863E+00;1.398126155912869E+02;
1.033000000000000E+09;-2.652930985575877E+00;1.391736662812744E+02;
1.034000000000000E+09;-2.703941862959897E+00;1.385378682616876E+02;
1.035000000000000E+09;-2.757928140565904E+00;1.379313287648363E+02;
1.036000000000000E+09;-2.811522325823314E+00;1.372812803456496E+02;
1.037000000000000E+09;-2.866644801887543E+00;1.366583212375929E+02;
1.038000000000000E+09;-2.914694194131890E+00;1.360745773747536E+02;
1.039000000000000E+09;-2.971809368640952E+00;1.354845890699908E+02;
1.040000000000000E+09;-3.023143394152587E+00;1.348539454568064E+02;
1.041000000000000E+09;-3.079590993716650E+00;1.342445844749066E+02;
1.042000000000000E+09;-3.128814954896998E+00;1.336566055309631E+02;
1.043000000000000E+09;-3.188261127082525E+00;1.330579169168553E+02;
1.044000000000000E+09;-3.235857899145538E+00;1.324520115313920E+02;
1.045000000000000E+09;-3.285542762432620E+00;1.319179901651958E+02;
1.046000000000000E+09;-3.342085961358703E+00;1.313752264762110E+02;
1.047000000000000E+09;-3.388479879616442E+00;1.308282241406910E+02;
1.048000000000000E+09;-3.443971927207444E+00;1.302906462292651E+02;
1.049000000000000E+09;-3.492721987856519E+00;1.297792039235850E+02;
1.050000000000000E+09;-3.540050189049300E+00;1.292687259891192E+02;
1.051000000000000E+09;-3.587985354974979E+00;1.287882192123077E+02;
1.052000000000000E+09;-3.634246984370832E+00;1.282614292207477E+02;
1.053000000000000E+09;-3.681732998835916E+00;1.277654993451240E+02;
1.054000000000000E+09;-3.729633260834301E+00;1.272657511812470E+02;
1.055000000000000E+09;-3.766160929413469E+00;1.267782495999817E+02;
1.056000000000000E+09;-3.814462781443381E+00;1.263063489806849E+02;
1.057000000000000E+09;-3.861754221988634E+00;1.258186297187721E+02;
1.058000000000000E+09;-3.907826956618772E+00;1.253237299268497E+02;
1.059000000000000E+09;-3.956827856241224E+00;1.248489779530986E+02;
1.060000000000000E+09;-4.003614108786979E+00;1.243665100028274E+02;
1.061000000000000E+09;-4.053117354106574E+00;1.239038541453052E+02;
1.062000000000000E+09;-4.103267523920105E+00;1.234038297927546E+02;
1.063000000000000E+09;-4.153908847499675E+00;1.229784169961491E+02;
1.064000000000000E+09;-4.200361413257258E+00;1.225295146559113E+02;
1.065000000000000E+09;-4.259191618188631E+00;1.220578879562931E+02;
1.066000000000000E+09;-4.316136119020105E+00;1.215691229646722E+02;
1.067000000000000E+09;-4.371304309723698E+00;1.211034998014531E+02;
1.068000000000000E+09;-4.439862128173615E+00;1.206370249129350E+02;
1.069000000000000E+09;-4.504745374246167E+00;1.201310367187964E+02;
1.070000000000000E+09;-4.575598000457056E+00;1.196739829775218E+02;
1.071000000000000E+09;-4.649805767228650E+00;1.192609103008129E+02;
1.072000000000000E+09;-4.722747745602007E+00;1.188237558683595E+02;
1.073000000000000E+09;-4.802575345382429E+00;1.183394505916442E+02;
1.074000000000000E+09;-4.886138667374935E+00;1.179041786659893E+02;
1.075000000000000E+09;-4.969208739913229E+00;1.174586891202871E+02;
1.076000000000000E+09;-5.058258292172797E+00;1.170346105685513E+02;
1.077000000000000E+09;-5.159449690912848E+00;1.165343578498651E+02;
1.078000000000000E+09;-5.258611256502137E+00;1.161178969279483E+02;
1.079000000000000E+09;-5.368214152780983E+00;1.156805042722953E+02;
1.080000000000000E+09;-5.484387289895350E+00;1.152453119089254E+02;
1.081000000000000E+09;-5.598417005098274E+00;1.147985596178690E+02;
1.082000000000000E+09;-5.721575164083690E+00;1.143976589254752E+02;
1.083000000000000E+09;-5.850902317192642E+00;1.139891823748841E+02;
1.084000000000000E+09;-5.986758209350271E+00;1.135534920604469E+02;
1.085000000000000E+09;-6.127862931254552E+00;1.130994638148343E+02;
1.086000000000000E+09;-6.279604085328429E+00;1.126946289581669E+02;
1.087000000000000E+09;-6.444198562813676E+00;1.122482369585678E+02;
1.088000000000000E+09;-6.615144788371273E+00;1.118267986642480E+02;
1.089000000000000E+09;-6.789706729386199E+00;1.114756565151586E+02;
1.090000000000000E+09;-6.984919738381375E+00;1.111047546839199E+02;
1.091000000000000E+09;-7.189269313279945E+00;1.107242680381410E+02;
1.092000000000000E+09;-7.395585827636667E+00;1.103837833104883E+02;
1.093000000000000E+09;-7.615183145659367E+00;1.100792891757354E+02;
1.094000000000000E+09;-7.849519528667587E+00;1.098057404755367E+02;
1.095000000000000E+09;-8.098316952096178E+00;1.094883432085252E+02;
1.096000000000000E+09;-8.363402561581575E+00;1.093180132993816E+02;
1.097000000000000E+09;-8.631205360593675E+00;1.091682062550314E+02;
1.098000000000000E+09;-8.927024599893898E+00;1.090598010518908E+02;
1.099000000000000E+09;-9.239790812465712E+00;1.090463934865098E+02;
1.100000000000000E+09;-9.558890274165563E+00;1.091183139194448E+02;
1.101000000000000E+09;-9.900189951159806E+00;1.092849518968042E+02;
1.102000000000000E+09;-1.025299483746036E+01;1.095865543598894E+02;
1.103000000000000E+09;-1.062675128458538E+01;1.099692841452359E+02;
1.104000000000000E+09;-1.101983717156148E+01;1.105827685048295E+02;
1.105000000000000E+09;-1.142428624395605E+01;1.113424534559803E+02;
1.106000000000000E+09;-1.185381338230601E+01;1.123254608081759E+02;
1.107000000000000E+09;-1.228442223106829E+01;1.136182194144068E+02;
1.108000000000000E+09;-1.271247400536384E+01;1.152440214635049E+02;
1.109000000000000E+09;-1.315616362256427E+01;1.171354090541591E+02;
1.110000000000000E+09;-1.359616876846436E+01;1.194094130497562E+02;
1.111000000000000E+09;-1.400976991991855E+01;1.221235864165520E+02;
1.112000000000000E+09;-1.439267182769447E+01;1.252064057541826E+02;
1.113000000000000E+09;-1.474606998674056E+01;1.286980669864429E+02;
1.114000000000000E+09;-1.503296935097665E+01;1.325686921137379E+02;
1.115000000000000E+09;-1.523108537737880E+01;1.368766791770093E+02;
1.116000000000000E+09;-1.535593737759465E+01;1.412234350832918E+02;
1.117000000000000E+09;-1.539576131017556E+01;1.457350547041775E+02;
1.118000000000000E+09;-1.531397613450437E+01;1.502241168813798E+02;
1.119000000000000E+09;-1.516367933373258E+01;1.545074691590833E+02;
1.120000000000000E+09;-1.493639653179178E+01;1.584363490921595E+02;
1.121000000000000E+09;-1.463069128507900E+01;1.620344286405990E+02;
1.122000000000000E+09;-1.427512477718612E+01;1.652911853213076E+02;
1.123000000000000E+09;-1.388130888241680E+01;1.680590313245142E+02;
1.124000000000000E+09;-1.345882354206409E+01;1.704012172248821E+02;
1.125000000000000E+09;-1.305093992516304E+01;1.723113747820410E+02;
1.126000000000000E+09;-1.261577226012076E+01;1.739058915254550E+02;
1.127000000000000E+09;-1.220150084353374E+01;1.751355795847855E+02;
1.128000000000000E+09;-1.178525771525046E+01;1.761373911297905E+02;
1.129000000000000E+09;-1.138462386485847E+01;1.769033454100622E+02;
1.130000000000000E+09;-1.099397181183271E+01;1.774920073697587E+02;
1.131000000000000E+09;-1.060862374472741E+01;1.778542151842437E+02;
1.132000000000000E+09;-1.023353492735329E+01;1.780826162833088E+02;
1.133000000000000E+09;-9.864987247961968E+00;1.780863040464405E+02;
1.134000000000000E+09;-9.511271309780728E+00;1.779950495446846E+02;
1.135000000000000E+09;-9.169867816985354E+00;1.777597983454332E+02;
1.136000000000000E+09;-8.844637743315003E+00;1.774142826150274E+02;
1.137000000000000E+09;-8.531028990482497E+00;1.769572723265347E+02;
1.138000000000000E+09;-8.226124433703729E+00;1.764095210014132E+02;
1.139000000000000E+09;-7.943338260881855E+00;1.758213656881738E+02;
1.140000000000000E+09;-7.675298397191349E+00;1.752063860676412E+02;
1.141000000000000E+09;-7.402897874970825E+00;1.745333321348552E+02;
1.142000000000000E+09;-7.150617411776206E+00;1.737562642514970E+02;
1.143000000000000E+09;-6.914886658127274E+00;1.729795888590282E+02;
1.144000000000000E+09;-6.674498279044117E+00;1.721909352058675E+02;
1.145000000000000E+09;-6.450998342761239E+00;1.713610887331597E+02;
1.146000000000000E+09;-6.240971310426749E+00;1.705022271019191E+02;
1.147000000000000E+09;-6.038393444767236E+00;1.696483131784597E+02;
1.148000000000000E+09;-5.843884627004655E+00;1.687571040406729E+02;
1.149000000000000E+09;-5.654403794553993E+00;1.679368543358520E+02;
1.150000000000000E+09;-5.477732041344780E+00;1.670703283917397E+02;
1.151000000000000E+09;-5.302761370187921E+00;1.662456708544426E+02;
1.152000000000000E+09;-5.133215323127175E+00;1.653623785543256E+02;
1.153000000000000E+09;-4.974253961613790E+00;1.645444740232689E+02;
1.154000000000000E+09;-4.815128868647393E+00;1.636789743740219E+02;
1.155000000000000E+09;-4.663229918095245E+00;1.628878614215860E+02;
1.156000000000000E+09;-4.514616996742616E+00;1.620429746248099E+02;
1.157000000000000E+09;-4.367610828819971E+00;1.611883484262644E+02;
1.158000000000000E+09;-4.229044973107713E+00;1.603631395610509E+02;
1.159000000000000E+09;-4.105296823615363E+00;1.595186640681745E+02;
1.160000000000000E+09;-3.977017865625173E+00;1.587327195102931E+02;
1.161000000000000E+09;-3.859551006569450E+00;1.579447089519355E+02;
1.162000000000000E+09;-3.745108440122168E+00;1.571603239491031E+02;
1.163000000000000E+09;-3.633926731798788E+00;1.563939167867336E+02;
1.164000000000000E+09;-3.523013625039551E+00;1.556463951153822E+02;
1.165000000000000E+09;-3.419394134560062E+00;1.548771641249881E+02;
1.166000000000000E+09;-3.319748014361105E+00;1.541685395386266E+02;
1.167000000000000E+09;-3.225666951265898E+00;1.534262941287607E+02;
1.168000000000000E+09;-3.134093726891459E+00;1.527130128368439E+02;
1.169000000000000E+09;-3.047616700774081E+00;1.520287098190230E+02;
1.170000000000000E+09;-2.964911427548207E+00;1.513527884952338E+02;
1.171000000000000E+09;-2.884652942739083E+00;1.506617489453567E+02;
1.172000000000000E+09;-2.808456417911107E+00;1.500039091155201E+02;
1.173000000000000E+09;-2.736645584125497E+00;1.493530149617951E+02;
1.174000000000000E+09;-2.664033907933145E+00;1.487191994462421E+02;
1.175000000000000E+09;-2.597112959674435E+00;1.480873130056948E+02;
1.176000000000000E+09;-2.532899368771715E+00;1.474520976038917E+02;
1.177000000000000E+09;-2.472829725542988E+00;1.468573663587078E+02;
1.178000000000000E+09;-2.414827502384579E+00;1.462512126143553E+02;
1.179000000000000E+09;-2.359824095513708E+00;1.456343307054467E+02;
1.180000000000000E+09;-2.308596702295386E+00;1.450499794051788E+02;
1.181000000000000E+09;-2.256951377465685E+00;1.444984201617034E+02;
1.182000000000000E+09;-2.212781184538290E+00;1.438973431816650E+02;
1.183000000000000E+09;-2.168578173605252E+00;1.433356698352922E+02;
1.184000000000000E+09;-2.125439664298201E+00;1.427474380851164E+02;
1.185000000000000E+09;-2.090718802474178E+00;1.421979311301972E+02;
1.186000000000000E+09;-2.053341416969388E+00;1.416497714289970E+02;
1.187000000000000E+09;-2.016871995790396E+00;1.410853372512196E+02;
1.188000000000000E+09;-1.985184329148041E+00;1.405548468109741E+02;
1.189000000000000E+09;-1.950767724172747E+00;1.400197170699350E+02;
1.190000000000000E+09;-1.922276939486340E+00;1.394688333512455E+02;
1.191000000000000E+09;-1.894209654211592E+00;1.389222380005400E+02;
1.192000000000000E+09;-1.867137979857549E+00;1.383679345449725E+02;
1.193000000000000E+09;-1.843620619174888E+00;1.378210284051834E+02;
1.194000000000000E+09;-1.823925721397948E+00;1.372662941282109E+02;
1.195000000000000E+09;-1.807641297694895E+00;1.367241029582588E+02;
1.196000000000000E+09;-1.786193260858313E+00;1.361722485209995E+02;
1.197000000000000E+09;-1.770538750763792E+00;1.356187473476411E+02;
1.198000000000000E+09;-1.755115440384198E+00;1.350428615267956E+02;
1.199000000000000E+09;-1.746138684702028E+00;1.345337791582037E+02;
1.200000000000000E+09;-1.731493794273365E+00;1.339694645209094E+02;
1.201000000000000E+09;-1.724866983427722E+00;1.334023013321429E+02;
1.202000000000000E+09;-1.712374386121829E+00;1.328371381945013E+02;
1.203000000000000E+09;-1.701520433983875E+00;1.322845398459132E+02;
1.204000000000000E+09;-1.693139154106337E+00;1.317052201102771E+02;
1.205000000000000E+09;-1.685062550945743E+00;1.311517040869948E+02;
1.206000000000000E+09;-1.684104447318440E+00;1.305600144423492E+02;
1.207000000000000E+09;-1.675219114694771E+00;1.299793410046474E+02;
1.208000000000000E+09;-1.668830758715125E+00;1.293703971078676E+02;
1.209000000000000E+09;-1.662729739889063E+00;1.287863008352929E+02;
1.210000000000000E+09;-1.658101992345150E+00;1.282027841904698E+02;
1.211000000000000E+09;-1.658106090120422E+00;1.275961245489644E+02;
1.212000000000000E+09;-1.655670870240610E+00;1.269891569199605E+02;
1.213000000000000E+09;-1.656180707530032E+00;1.263453378614677E+02;
1.214000000000000E+09;-1.656304694969264E+00;1.257459842301093E+02;
1.215000000000000E+09;-1.654989328248871E+00;1.251376887707597E+02;
1.216000000000000E+09;-1.658128362162947E+00;1.244986378180016E+02;
1.217000000000000E+09;-1.657942056598827E+00;1.238900467780785E+02;
1.218000000000000E+09;-1.658943176392079E+00;1.232809281631629E+02;
1.219000000000000E+09;-1.665484022874507E+00;1.226779892665442E+02;
1.220000000000000E+09;-1.662064689509956E+00;1.220457936697554E+02;
1.221000000000000E+09;-1.662118785099305E+00;1.214507865434673E+02;
1.222000000000000E+09;-1.663714829479276E+00;1.208587669079338E+02;
1.223000000000000E+09;-1.661380020349950E+00;1.202532599883244E+02;
1.224000000000000E+09;-1.657187571384009E+00;1.196287376155474E+02;
1.225000000000000E+09;-1.652306188866238E+00;1.190396955757677E+02;
1.226000000000000E+09;-1.649068469697804E+00;1.184442970753485E+02;
1.227000000000000E+09;-1.645476487850231E+00;1.178040299151924E+02;
1.228000000000000E+09;-1.641407348109089E+00;1.171965595272256E+02;
