# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.264264668479321E+00;1.581648027112236E+02;
1.001000000000000E+09;-1.284361455810411E+00;1.576944773986671E+02;
1.002000000000000E+09;-1.309592863007129E+00;1.572467806491055E+02;
1.003000000000000E+09;-1.335612384745868E+00;1.567556723103623E+02;
1.004000000000000E+09;-1.362945748449879E+00;1.562532316598191E+02;
1.005000000000000E+09;-1.389595539301960E+00;1.557990899304645E+02;
1.006000000000000E+09;-1.415904703848570E+00;1.552828077405588E+02;
1.007000000000000E+09;-1.449714225303508E+00;1.547805018774367E+02;
1.008000000000000E+09;-1.481496480776213E+00;1.542806501882536E+02;
1.009000000000000E+09;-1.514755462878411E+00;1.537721170540436E+02;
1.010000000000000E+09;-1.547796131250110E+00;1.532334690753792E+02;
1.011000000000000E+09;-1.586556091602163E+00;1.526875186074630E+02;
1.012000000000000E+09;-1.621735069470438E+00;1.521434623836794E+02;
1.013000000000000E+09;-1.657299183457983E+00;1.516056495877037E+02;
1.014000000000000E+09;-1.694290236527760E+00;1.510147732939932E+02;
1.015000000000000E+09;-1.736239179481182E+00;1.504495013117730E+02;
1.016000000000000E+09;-1.776675889079006E+00;1.498740929304181E+02;
1.017000000000000E+09;-1.815566294921211E+00;1.492497288813631E+02;
1.018000000000000E+09;-1.861298391328065E+00;1.486470458888998E+02;
1.019000000000000E+09;-1.906779631663545E+00;1.480303244422786E+02;
1.020000000000000E+09;-1.949573301965437E+00;1.474497084816414E+02;
1.021000000000000E+09;-1.994945790907426E+00;1.467999172228990E+02;
1.022000000000000E+09;-2.041870630256706E+00;1.461601290134840E+02;
1.023000000000000E+09;-2.094756763869306E+00;1.455245918595213E+02;
1.024000000000000E+09;-2.144141398191954E+00;1.448853775507170E+02;
1.025000000000000E+09;-2.193700374602117E+00;1.442145537758407E+02;
1.026000000000000E+09;-2.245398448356778E+00;1.435678255730294E+02;
1.027000000000000E+09;-2.295524048778572E+00;1.429249843758377E+02;
1.028000000000000E+09;-2.344926603163560E+00;1.422319025961827E+02;
1.029000000000000E+09;-2.395929417187783E+00;1.416012585784808E+02;
1.030000000000000E+09;-2.449316832100230E+00;1.409157795913581E+02;
1.031000000000000E+09;-2.505900970592230E+00;1.402727475980154E+02;
1.032000000000000E+09;-2.556545230005898E+00;1.395699904880331E+02;
1.033000000000000E+09;-2.610035353030071E+00;1.388981802508077E+02;
1.034000000000000E+09;-2.664224504439851E+00;1.382390746575349E+02;
1.035000000000000E+09;-2.715873473232882E+00;1.375847595076421E+02;
1.036000000000000E+09;-2.768511750187205E+00;1.369285117830355E+02;
1.037000000000000E+09;-2.821330854304930E+00;1.362646887174811E+02;
1.038000000000000E+09;-2.870954704297273E+00;1.356246623712559E+02;
1.039000000000000E+09;-2.921500176437817E+00;1.349725515966655E+02;
1.040000000000000E+09;-2.968238237898349E+00;1.342856471618371E+02;
1.041000000000000E+09;-3.015972161850691E+00;1.336872035261383E+02;
1.042000000000000E+09;-3.062606016531047E+00;1.330194223013624E+02;
1.043000000000000E+09;-3.113115142807394E+00;1.323459692988378E+02;
1.044000000000000E+09;-3.157128331647752E+00;1.316818244001156E+02;
1.045000000000000E+09;-3.209587671866747E+00;1.310666161521692E+02;
1.046000000000000E+09;-3.253604911228939E+00;1.304323300297696E+02;
1.047000000000000E+09;-3.306830555149079E+00;1.297914493194906E+02;
1.048000000000000E+09;-3.357220687521676E+00;1.291382228400122E+02;
1.049000000000000E+09;-3.402587165721951E+00;1.285300590278027E+02;
1.050000000000000E+09;-3.449320041434274E+00;1.279244609792399E+02;
1.051000000000000E+09;-3.496342079478619E+00;1.273110917662148E+02;
1.052000000000000E+09;-3.543585371394182E+00;1.267222107249005E+02;
1.053000000000000E+09;-3.592726263757748E+00;1.261248247009683E+02;
1.054000000000000E+09;-3.639447291527243E+00;1.255043320418694E+02;
1.055000000000000E+09;-3.681388979097621E+00;1.248959051495127E+02;
1.056000000000000E+09;-3.735563863312082E+00;1.243408754925422E+02;
1.057000000000000E+09;-3.781819226142980E+00;1.237643038678301E+02;
