# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.337458570676262E+00;1.580365575287407E+02;
1.001000000000000E+09;-1.357860094494554E+00;1.575944405259312E+02;
1.002000000000000E+09;-1.388224089510657E+00;1.571698012542026E+02;
1.003000000000000E+09;-1.412324393130669E+00;1.567002049045836E+02;
1.004000000000000E+09;-1.440202078902981E+00;1.562509859005982E+02;
1.005000000000000E+09;-1.467485635666274E+00;1.557928775278792E+02;
1.006000000000000E+09;-1.495522266647623E+00;1.552912186554752E+02;
1.007000000000000E+09;-1.526646689437673E+00;1.547958652759060E+02;
1.008000000000000E+09;-1.561511015774166E+00;1.543191914682978E+02;
1.009000000000000E+09;-1.592109153674557E+00;1.538243563221071E+02;
1.010000000000000E+09;-1.624277873729084E+00;1.532899008175187E+02;
1.011000000000000E+09;-1.665572956927989E+00;1.527351330536865E+02;
1.012000000000000E+09;-1.701199732297243E+00;1.522051855560287E+02;
1.013000000000000E+09;-1.736823417566831E+00;1.516549801077847E+02;
1.014000000000000E+09;-1.774102151766157E+00;1.510747062198364E+02;
1.015000000000000E+09;-1.821038430613731E+00;1.505102301212811E+02;
1.016000000000000E+09;-1.861546386538555E+00;1.499262071601605E+02;
1.017000000000000E+09;-1.904020979466925E+00;1.492909774876039E+02;
1.018000000000000E+09;-1.948961287254257E+00;1.486752412413808E+02;
1.019000000000000E+09;-2.000660482596163E+00;1.480543580876349E+02;
1.020000000000000E+09;-2.044175176811660E+00;1.474263663177818E+02;
1.021000000000000E+09;-2.097012183004638E+00;1.467820389954693E+02;
1.022000000000000E+09;-2.148224892305324E+00;1.461307602224776E+02;
1.023000000000000E+09;-2.204152805169126E+00;1.454749817971801E+02;
1.024000000000000E+09;-2.259453703551499E+00;1.448152383429724E+02;
1.025000000000000E+09;-2.316633699002778E+00;1.441270489845137E+02;
1.026000000000000E+09;-2.372738216669750E+00;1.434793090967584E+02;
1.027000000000000E+09;-2.429888402487462E+00;1.428176133901808E+02;
1.028000000000000E+09;-2.487147060541824E+00;1.420967139200296E+02;
1.029000000000000E+09;-2.545304563826722E+00;1.414477365238673E+02;
1.030000000000000E+09;-2.606936799486477E+00;1.407703245074708E+02;
1.031000000000000E+09;-2.667763002518960E+00;1.400932547521552E+02;
1.032000000000000E+09;-2.725537927928388E+00;1.393898935607282E+02;
1.033000000000000E+09;-2.782587786819959E+00;1.387105774489523E+02;
1.034000000000000E+09;-2.841898084719199E+00;1.380603474566302E+02;
1.035000000000000E+09;-2.901034022597337E+00;1.373889432751352E+02;
1.036000000000000E+09;-2.962649457272341E+00;1.366929581699170E+02;
1.037000000000000E+09;-3.026301414658806E+00;1.360004746813599E+02;
1.038000000000000E+09;-3.085243764297851E+00;1.353412347673825E+02;
1.039000000000000E+09;-3.143109840658127E+00;1.347252243072902E+02;
1.040000000000000E+09;-3.200852181246264E+00;1.340422389183181E+02;
1.041000000000000E+09;-3.260526178183982E+00;1.334038301226337E+02;
1.042000000000000E+09;-3.318343324566927E+00;1.327613880145330E+02;
1.043000000000000E+09;-3.378202570829532E+00;1.321207301009623E+02;
1.044000000000000E+09;-3.428727891758295E+00;1.314684394584722E+02;
1.045000000000000E+09;-3.481492210900555E+00;1.308541875076882E+02;
1.046000000000000E+09;-3.534725800813641E+00;1.302299024345225E+02;
1.047000000000000E+09;-3.587876636347372E+00;1.296013413444042E+02;
1.048000000000000E+09;-3.639258785277764E+00;1.289896356933798E+02;
1.049000000000000E+09;-3.689856917588346E+00;1.283933774730079E+02;
1.050000000000000E+09;-3.741226943899931E+00;1.277862601094623E+02;
1.051000000000000E+09;-3.790575780499987E+00;1.271825590363426E+02;
1.052000000000000E+09;-3.843069800847576E+00;1.266252070869527E+02;
1.053000000000000E+09;-3.890904024974116E+00;1.260243897792259E+02;
1.054000000000000E+09;-3.943554117783221E+00;1.253976662263997E+02;
1.055000000000000E+09;-3.984038580832989E+00;1.248236028986222E+02;
1.056000000000000E+09;-4.039327133667789E+00;1.242763345071754E+02;
1.057000000000000E+09;-4.086861333992496E+00;1.236966060871956E+02;
1.058000000000000E+09;-4.138784783168522E+00;1.231080176979881E+02;
1.059000000000000E+09;-4.190337760932526E+00;1.225695067449693E+02;
1.060000000000000E+09;-4.240830409182125E+00;1.219878215143131E+02;
1.061000000000000E+09;-4.293664214917998E+00;1.214231806372098E+02;
1.062000000000000E+09;-4.347531698274480E+00;1.208502693475785E+02;
1.063000000000000E+09;-4.405373944891745E+00;1.203160684503160E+02;
1.064000000000000E+09;-4.458418688713268E+00;1.197929951812995E+02;
1.065000000000000E+09;-4.518188315240727E+00;1.192193825418553E+02;
1.066000000000000E+09;-4.581280905782569E+00;1.186392408738407E+02;
1.067000000000000E+09;-4.644457358265052E+00;1.180938131018966E+02;
1.068000000000000E+09;-4.714887667580435E+00;1.175821516884085E+02;
1.069000000000000E+09;-4.782385444861415E+00;1.169952829259547E+02;
1.070000000000000E+09;-4.858744512849214E+00;1.164245685934568E+02;
1.071000000000000E+09;-4.936379159609833E+00;1.159293070170312E+02;
1.072000000000000E+09;-5.015903721687939E+00;1.153687697329778E+02;
1.073000000000000E+09;-5.096615896194941E+00;1.147884577323612E+02;
1.074000000000000E+09;-5.187098227421320E+00;1.142601494735739E+02;
1.075000000000000E+09;-5.286306773976833E+00;1.136772376187202E+02;
1.076000000000000E+09;-5.376836899943776E+00;1.131511480121284E+02;
1.077000000000000E+09;-5.490239982853523E+00;1.125350927721399E+02;
1.078000000000000E+09;-5.602193973333835E+00;1.120088297794870E+02;
1.079000000000000E+09;-5.720436806235547E+00;1.114674031026504E+02;
1.080000000000000E+09;-5.852052276445781E+00;1.108927230333130E+02;
1.081000000000000E+09;-5.986039780904388E+00;1.103490188253940E+02;
1.082000000000000E+09;-6.126052440339973E+00;1.098174552856823E+02;
1.083000000000000E+09;-6.272994112032048E+00;1.092698925000181E+02;
1.084000000000000E+09;-6.438905971044865E+00;1.087284783314866E+02;
1.085000000000000E+09;-6.608706485240832E+00;1.081960100928179E+02;
1.086000000000000E+09;-6.785570255986922E+00;1.077105381101993E+02;
1.087000000000000E+09;-6.983426978698377E+00;1.072276763014322E+02;
1.088000000000000E+09;-7.182826120348603E+00;1.067216954550890E+02;
1.089000000000000E+09;-7.392338537584756E+00;1.062886921050499E+02;
1.090000000000000E+09;-7.622831393790550E+00;1.058706595037892E+02;
1.091000000000000E+09;-7.865231472786726E+00;1.054803066033067E+02;
1.092000000000000E+09;-8.117739016846862E+00;1.051703990316855E+02;
1.093000000000000E+09;-8.379888363814876E+00;1.048931032607945E+02;
1.094000000000000E+09;-8.663023262735875E+00;1.046351721978926E+02;
