# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.346241021202607E+00;1.580424018111185E+02;
1.001000000000000E+09;-1.368552292864418E+00;1.576078848815563E+02;
1.002000000000000E+09;-1.394635399100463E+00;1.571801284946137E+02;
1.003000000000000E+09;-1.419072377676934E+00;1.567061518940499E+02;
1.004000000000000E+09;-1.449091171772142E+00;1.562342679310388E+02;
1.005000000000000E+09;-1.477578292634612E+00;1.557813553448470E+02;
1.006000000000000E+09;-1.505072821759241E+00;1.553006199973798E+02;
1.007000000000000E+09;-1.536375632974059E+00;1.548130662078406E+02;
1.008000000000000E+09;-1.570277422006800E+00;1.543339548202282E+02;
1.009000000000000E+09;-1.604837215491999E+00;1.538279383318753E+02;
1.010000000000000E+09;-1.639113814533487E+00;1.532853487555308E+02;
1.011000000000000E+09;-1.678895928073332E+00;1.527633939564176E+02;
1.012000000000000E+09;-1.711978324470825E+00;1.522089852864945E+02;
1.013000000000000E+09;-1.749307344164294E+00;1.516610106412941E+02;
1.014000000000000E+09;-1.789555662888303E+00;1.510894306497731E+02;
1.015000000000000E+09;-1.831092331177226E+00;1.505128226655289E+02;
1.016000000000000E+09;-1.874492201179618E+00;1.499372361864915E+02;
1.017000000000000E+09;-1.915672053897719E+00;1.493249014713141E+02;
1.018000000000000E+09;-1.963309171793095E+00;1.487048602012952E+02;
1.019000000000000E+09;-2.010908226750488E+00;1.481025271438700E+02;
1.020000000000000E+09;-2.058531562759771E+00;1.474623954313344E+02;
1.021000000000000E+09;-2.109707031427140E+00;1.468172409910184E+02;
1.022000000000000E+09;-2.161443347618862E+00;1.461550448539966E+02;
1.023000000000000E+09;-2.214386492072912E+00;1.455126659774105E+02;
1.024000000000000E+09;-2.269542312185410E+00;1.448642256835440E+02;
1.025000000000000E+09;-2.327594946799587E+00;1.441798529724284E+02;
1.026000000000000E+09;-2.384804736351059E+00;1.435204527821122E+02;
1.027000000000000E+09;-2.439286887969247E+00;1.428816438316045E+02;
1.028000000000000E+09;-2.497136017291153E+00;1.421769105595289E+02;
1.029000000000000E+09;-2.554305587682233E+00;1.415199446856959E+02;
1.030000000000000E+09;-2.616226096891432E+00;1.408377579973542E+02;
1.031000000000000E+09;-2.676018527100013E+00;1.401563626487484E+02;
1.032000000000000E+09;-2.738237015486354E+00;1.394713944136310E+02;
1.033000000000000E+09;-2.794480483584782E+00;1.387729626669278E+02;
1.034000000000000E+09;-2.850387899295955E+00;1.381326822955768E+02;
1.035000000000000E+09;-2.915722344670822E+00;1.374647918309957E+02;
1.036000000000000E+09;-2.978139764634697E+00;1.368078992705570E+02;
1.037000000000000E+09;-3.035634587424646E+00;1.361303653266220E+02;
1.038000000000000E+09;-3.092223514728984E+00;1.354679320316366E+02;
1.039000000000000E+09;-3.152607648945524E+00;1.348034089645939E+02;
1.040000000000000E+09;-3.213150828022854E+00;1.341677204782256E+02;
1.041000000000000E+09;-3.268597170441648E+00;1.335186101666265E+02;
1.042000000000000E+09;-3.325922666862193E+00;1.328954205535240E+02;
1.043000000000000E+09;-3.382453289108313E+00;1.322560602397200E+02;
1.044000000000000E+09;-3.435065263489148E+00;1.315838919606787E+02;
1.045000000000000E+09;-3.488501299990161E+00;1.310063579762282E+02;
1.046000000000000E+09;-3.536136721444788E+00;1.303980609220656E+02;
1.047000000000000E+09;-3.591602739826651E+00;1.297784207803511E+02;
1.048000000000000E+09;-3.646793144879212E+00;1.291551176942590E+02;
1.049000000000000E+09;-3.692750276933586E+00;1.285672840847553E+02;
1.050000000000000E+09;-3.746663245135413E+00;1.279386175096040E+02;
1.051000000000000E+09;-3.795317009126218E+00;1.273869938467373E+02;
1.052000000000000E+09;-3.841514508869507E+00;1.267847809298551E+02;
1.053000000000000E+09;-3.893330330362299E+00;1.262168752627555E+02;
1.054000000000000E+09;-3.943390042813313E+00;1.255935224663996E+02;
1.055000000000000E+09;-3.984538014732892E+00;1.250176593818914E+02;
1.056000000000000E+09;-4.036037307131846E+00;1.244747210373724E+02;
1.057000000000000E+09;-4.085817438033494E+00;1.239080105761755E+02;
1.058000000000000E+09;-4.135446097345220E+00;1.233124870828600E+02;
1.059000000000000E+09;-4.188181663916315E+00;1.227678294510410E+02;
1.060000000000000E+09;-4.237398930843034E+00;1.222021642916868E+02;
1.061000000000000E+09;-4.291720204460433E+00;1.216472588826887E+02;
1.062000000000000E+09;-4.342369247634544E+00;1.210743411189791E+02;
1.063000000000000E+09;-4.398687421318862E+00;1.205544893838793E+02;
1.064000000000000E+09;-4.450208377905324E+00;1.200152487500467E+02;
1.065000000000000E+09;-4.510786035222369E+00;1.194437185085682E+02;
1.066000000000000E+09;-4.570965703773995E+00;1.188787279003157E+02;
1.067000000000000E+09;-4.631730841200310E+00;1.183431912462555E+02;
1.068000000000000E+09;-4.699902914126443E+00;1.177910355666447E+02;
1.069000000000000E+09;-4.767285764227643E+00;1.172194079258986E+02;
1.070000000000000E+09;-4.842440206576541E+00;1.166677064861036E+02;
1.071000000000000E+09;-4.916375967691099E+00;1.161243984023987E+02;
1.072000000000000E+09;-4.999291562283826E+00;1.155761064233747E+02;
1.073000000000000E+09;-5.083858180274683E+00;1.150141147006646E+02;
1.074000000000000E+09;-5.172877251729968E+00;1.144624447208489E+02;
1.075000000000000E+09;-5.267043102448209E+00;1.138992856200178E+02;
1.076000000000000E+09;-5.365076368232518E+00;1.133797024525109E+02;
1.077000000000000E+09;-5.475309768118369E+00;1.127768211947907E+02;
1.078000000000000E+09;-5.585466682464033E+00;1.122510006800592E+02;
1.079000000000000E+09;-5.702221190443169E+00;1.116781544102665E+02;
1.080000000000000E+09;-5.836349498570160E+00;1.111356350184443E+02;
1.081000000000000E+09;-5.969255025080821E+00;1.105767573221948E+02;
1.082000000000000E+09;-6.110250718323559E+00;1.100870520441062E+02;
1.083000000000000E+09;-6.256773194386078E+00;1.095413971281776E+02;
1.084000000000000E+09;-6.421924358276566E+00;1.090159211951797E+02;
1.085000000000000E+09;-6.586309807815693E+00;1.085350492266405E+02;
1.086000000000000E+09;-6.761480349677816E+00;1.080507484409950E+02;
1.087000000000000E+09;-6.951841242896818E+00;1.075616448697027E+02;
1.088000000000000E+09;-7.152927114945630E+00;1.070693575007239E+02;
1.089000000000000E+09;-7.353596690093407E+00;1.066608977402777E+02;
1.090000000000000E+09;-7.579079926901874E+00;1.062592450221115E+02;
1.091000000000000E+09;-7.814462195521701E+00;1.058777520449438E+02;
1.092000000000000E+09;-8.062698798552280E+00;1.055303315095344E+02;
1.093000000000000E+09;-8.325980075202015E+00;1.052428215156483E+02;
1.094000000000000E+09;-8.600696290253319E+00;1.049814881368969E+02;
1.095000000000000E+09;-8.890568138668808E+00;1.047469173765002E+02;
1.096000000000000E+09;-9.200192527302590E+00;1.046452171604186E+02;
1.097000000000000E+09;-9.523455088128131E+00;1.046036503225755E+02;
1.098000000000000E+09;-9.863164732408567E+00;1.046474890327454E+02;
1.099000000000000E+09;-1.022369301348377E+01;1.048244795983861E+02;
1.100000000000000E+09;-1.059717297957475E+01;1.051151735137844E+02;
1.101000000000000E+09;-1.098949951966230E+01;1.055427541954713E+02;
1.102000000000000E+09;-1.139347961630371E+01;1.061074926733976E+02;
1.103000000000000E+09;-1.181987281633240E+01;1.069126927797710E+02;
1.104000000000000E+09;-1.226987850335710E+01;1.079266738823460E+02;
1.105000000000000E+09;-1.273251092904165E+01;1.091619943103271E+02;
1.106000000000000E+09;-1.320807606019272E+01;1.107487526643427E+02;
1.107000000000000E+09;-1.368661914270422E+01;1.127826744037360E+02;
1.108000000000000E+09;-1.415328338474331E+01;1.151904215149415E+02;
1.109000000000000E+09;-1.461930865613711E+01;1.180546153638882E+02;
1.110000000000000E+09;-1.504367682933189E+01;1.213426941630419E+02;
1.111000000000000E+09;-1.541538165520440E+01;1.252297259242122E+02;
1.112000000000000E+09;-1.571882314156617E+01;1.294969730063239E+02;
1.113000000000000E+09;-1.596912287732660E+01;1.340309364866563E+02;
1.114000000000000E+09;-1.610202821995669E+01;1.388023165204935E+02;
1.115000000000000E+09;-1.611543595825203E+01;1.438987945354040E+02;
1.116000000000000E+09;-1.605352728234990E+01;1.486792182040871E+02;
1.117000000000000E+09;-1.588119419055793E+01;1.533308859606269E+02;
1.118000000000000E+09;-1.560295558537102E+01;1.576813116087574E+02;
1.119000000000000E+09;-1.526013289628026E+01;1.616223501296422E+02;
1.120000000000000E+09;-1.486366183730191E+01;1.649834338242640E+02;
1.121000000000000E+09;-1.444260684173697E+01;1.679684970869237E+02;
1.122000000000000E+09;-1.398361951192145E+01;1.705166212865787E+02;
1.123000000000000E+09;-1.351854783999448E+01;1.725383786983871E+02;
1.124000000000000E+09;-1.304915840045880E+01;1.741879462704596E+02;
1.125000000000000E+09;-1.258933623350830E+01;1.754804011910358E+02;
1.126000000000000E+09;-1.212315754266480E+01;1.765061416447991E+02;
1.127000000000000E+09;-1.169282611638988E+01;1.771610618420041E+02;
1.128000000000000E+09;-1.125916944198688E+01;1.776152148138150E+02;
1.129000000000000E+09;-1.085508606265281E+01;1.778161646964976E+02;
1.130000000000000E+09;-1.045975797668405E+01;1.779361712912940E+02;
1.131000000000000E+09;-1.008983512752721E+01;1.777877482685032E+02;
1.132000000000000E+09;-9.726655614641494E+00;1.775765253916301E+02;
1.133000000000000E+09;-9.385427369771291E+00;1.772067428520035E+02;
1.134000000000000E+09;-9.059111557833837E+00;1.767864231175043E+02;
1.135000000000000E+09;-8.747845939660584E+00;1.762975825618310E+02;
1.136000000000000E+09;-8.454321071671824E+00;1.757422866253505E+02;
1.137000000000000E+09;-8.163299387844367E+00;1.751361985996918E+02;
1.138000000000000E+09;-7.887030465708394E+00;1.744585130507593E+02;
1.139000000000000E+09;-7.630221828248741E+00;1.736868497360391E+02;
1.140000000000000E+09;-7.375332136166636E+00;1.729941676948472E+02;
1.141000000000000E+09;-7.130829975323564E+00;1.721834177565578E+02;
1.142000000000000E+09;-6.904919358477345E+00;1.713386123078604E+02;
1.143000000000000E+09;-6.683521867092046E+00;1.705588674765055E+02;
1.144000000000000E+09;-6.465174550739677E+00;1.697093277109762E+02;
1.145000000000000E+09;-6.257483359513269E+00;1.688757029935551E+02;
1.146000000000000E+09;-6.059928966002258E+00;1.680067244320897E+02;
1.147000000000000E+09;-5.869005601538299E+00;1.670857665950303E+02;
1.148000000000000E+09;-5.684121766567142E+00;1.662639580748751E+02;
1.149000000000000E+09;-5.503292598025537E+00;1.654057283094883E+02;
1.150000000000000E+09;-5.333306499793158E+00;1.645089072928021E+02;
1.151000000000000E+09;-5.169135737221895E+00;1.636518502395729E+02;
1.152000000000000E+09;-5.011354252724812E+00;1.627764797494435E+02;
1.153000000000000E+09;-4.861257729328726E+00;1.619297248612995E+02;
1.154000000000000E+09;-4.711150785759464E+00;1.610544740839886E+02;
1.155000000000000E+09;-4.569834523745237E+00;1.602347969203360E+02;
1.156000000000000E+09;-4.434798681892476E+00;1.594145936351047E+02;
1.157000000000000E+09;-4.302362765511488E+00;1.585571845024547E+02;
1.158000000000000E+09;-4.174793401571754E+00;1.577647012447559E+02;
1.159000000000000E+09;-4.051795520631624E+00;1.569682797326559E+02;
1.160000000000000E+09;-3.933652978545619E+00;1.561918045043583E+02;
1.161000000000000E+09;-3.824377018581705E+00;1.554278746210446E+02;
1.162000000000000E+09;-3.717271641389497E+00;1.546711702239877E+02;
1.163000000000000E+09;-3.611357239999502E+00;1.539206165246269E+02;
1.164000000000000E+09;-3.512532550789742E+00;1.532061328995898E+02;
