# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.319120741019374E+00;1.580755832240182E+02;
1.001000000000000E+09;-1.346166622818605E+00;1.576265818152551E+02;
1.002000000000000E+09;-1.369410137080596E+00;1.571840126013649E+02;
1.003000000000000E+09;-1.396329145740387E+00;1.567134687334088E+02;
1.004000000000000E+09;-1.422060113372190E+00;1.562392177501257E+02;
1.005000000000000E+09;-1.449371819906308E+00;1.557901642346601E+02;
1.006000000000000E+09;-1.478623137482851E+00;1.552643454611653E+02;
1.007000000000000E+09;-1.514082830725624E+00;1.547778005813792E+02;
1.008000000000000E+09;-1.544474664981949E+00;1.542817946811191E+02;
1.009000000000000E+09;-1.575780799651793E+00;1.537748821399942E+02;
1.010000000000000E+09;-1.611582081860362E+00;1.532573136272902E+02;
1.011000000000000E+09;-1.650298528711387E+00;1.527056134905022E+02;
1.012000000000000E+09;-1.685560361310226E+00;1.521634693458847E+02;
1.013000000000000E+09;-1.722572643116929E+00;1.516199849179471E+02;
1.014000000000000E+09;-1.760801813372497E+00;1.510373265666460E+02;
1.015000000000000E+09;-1.803467249532458E+00;1.504601798892393E+02;
1.016000000000000E+09;-1.844540860250024E+00;1.498918330472614E+02;
1.017000000000000E+09;-1.886691125449896E+00;1.492747314946905E+02;
1.018000000000000E+09;-1.932996133757534E+00;1.486666661446409E+02;
1.019000000000000E+09;-1.981403773031583E+00;1.480456511573780E+02;
1.020000000000000E+09;-2.026974453310523E+00;1.474296807974671E+02;
1.021000000000000E+09;-2.074217510066414E+00;1.467741477798919E+02;
1.022000000000000E+09;-2.123491439112459E+00;1.461121121950104E+02;
1.023000000000000E+09;-2.178576856706841E+00;1.454943985414709E+02;
1.024000000000000E+09;-2.229729053494715E+00;1.448325860846207E+02;
1.025000000000000E+09;-2.284101037092976E+00;1.441554377960028E+02;
1.026000000000000E+09;-2.339395472867312E+00;1.434806862853611E+02;
1.027000000000000E+09;-2.392198395559521E+00;1.428313469155368E+02;
1.028000000000000E+09;-2.446023663467099E+00;1.421488155083657E+02;
1.029000000000000E+09;-2.500440255608694E+00;1.414891139952937E+02;
1.030000000000000E+09;-2.560791881492391E+00;1.408015539324270E+02;
1.031000000000000E+09;-2.619625788174702E+00;1.401193772736468E+02;
1.032000000000000E+09;-2.675713012777981E+00;1.394323075526600E+02;
1.033000000000000E+09;-2.729997780858684E+00;1.387664591258830E+02;
1.034000000000000E+09;-2.788372029203515E+00;1.381053731582078E+02;
1.035000000000000E+09;-2.846237086086025E+00;1.374477891956534E+02;
