# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.323177922884425E+00;1.576684326975087E+02;
1.001000000000000E+09;-1.347673726560326E+00;1.571996554714431E+02;
1.002000000000000E+09;-1.372588634292957E+00;1.567206808138798E+02;
1.003000000000000E+09;-1.399905538211932E+00;1.562777609268675E+02;
1.004000000000000E+09;-1.426073633484682E+00;1.557825478005099E+02;
1.005000000000000E+09;-1.457048025770077E+00;1.553478697448705E+02;
1.006000000000000E+09;-1.482252854478308E+00;1.548452811419543E+02;
1.007000000000000E+09;-1.517622329007597E+00;1.543438480101747E+02;
1.008000000000000E+09;-1.548637075850056E+00;1.538629117067987E+02;
1.009000000000000E+09;-1.580146752638130E+00;1.533756527274043E+02;
1.010000000000000E+09;-1.614716792451719E+00;1.528287374685758E+02;
1.011000000000000E+09;-1.654193591785766E+00;1.522817760625915E+02;
1.012000000000000E+09;-1.687904519638828E+00;1.517483604280769E+02;
1.013000000000000E+09;-1.724475209536734E+00;1.512130732649773E+02;
1.014000000000000E+09;-1.764589725381076E+00;1.506361348200701E+02;
1.015000000000000E+09;-1.804634797908254E+00;1.500752908956854E+02;
1.016000000000000E+09;-1.846589607497410E+00;1.494936399675482E+02;
1.017000000000000E+09;-1.886843039784171E+00;1.488853133324928E+02;
1.018000000000000E+09;-1.932136589362952E+00;1.482848382531978E+02;
1.019000000000000E+09;-1.980841129901227E+00;1.476690688767980E+02;
1.020000000000000E+09;-2.024524636677568E+00;1.470582898831855E+02;
1.021000000000000E+09;-2.070389001769358E+00;1.464117030788107E+02;
1.022000000000000E+09;-2.118427574848786E+00;1.457819436939571E+02;
1.023000000000000E+09;-2.170148925614914E+00;1.451469228258881E+02;
1.024000000000000E+09;-2.221104423090872E+00;1.444993934360704E+02;
1.025000000000000E+09;-2.276250724425529E+00;1.438421977633793E+02;
1.026000000000000E+09;-2.324920482912137E+00;1.431870385605606E+02;
1.027000000000000E+09;-2.377861626248893E+00;1.425460283155919E+02;
1.028000000000000E+09;-2.433988380594056E+00;1.418592795634474E+02;
1.029000000000000E+09;-2.484173796279241E+00;1.412421559445499E+02;
1.030000000000000E+09;-2.542503156749296E+00;1.405484453170451E+02;
1.031000000000000E+09;-2.596839280278007E+00;1.398721947656217E+02;
1.032000000000000E+09;-2.655421219863475E+00;1.392274554110146E+02;
1.033000000000000E+09;-2.709814977681281E+00;1.385539867259842E+02;
1.034000000000000E+09;-2.764080000326766E+00;1.379056696456346E+02;
1.035000000000000E+09;-2.817698937617834E+00;1.372612294840202E+02;
1.036000000000000E+09;-2.870691983948578E+00;1.365951118786310E+02;
1.037000000000000E+09;-2.926437335268043E+00;1.359339465027093E+02;
1.038000000000000E+09;-2.977068936832134E+00;1.353082956566150E+02;
1.039000000000000E+09;-3.033762511675126E+00;1.346486929054850E+02;
1.040000000000000E+09;-3.084003931068364E+00;1.340125985368419E+02;
1.041000000000000E+09;-3.133429683972682E+00;1.334015151254588E+02;
1.042000000000000E+09;-3.187400101451427E+00;1.327452140288913E+02;
1.043000000000000E+09;-3.238057285689438E+00;1.320982793425378E+02;
1.044000000000000E+09;-3.287387417522743E+00;1.315016607980350E+02;
1.045000000000000E+09;-3.336772202029269E+00;1.308743596836424E+02;
1.046000000000000E+09;-3.382809752357151E+00;1.302669007662983E+02;
1.047000000000000E+09;-3.433050728747635E+00;1.296447390588976E+02;
1.048000000000000E+09;-3.482002874581431E+00;1.290463398420794E+02;
1.049000000000000E+09;-3.528164363462688E+00;1.284456089424653E+02;
1.050000000000000E+09;-3.577533390399071E+00;1.278776348024225E+02;
1.051000000000000E+09;-3.623522927023895E+00;1.272695634855740E+02;
1.052000000000000E+09;-3.671450459544655E+00;1.267075290326326E+02;
