# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.307192236041940E+00;1.579994373646817E+02;
1.001000000000000E+09;-1.331198642563124E+00;1.575475931522105E+02;
1.002000000000000E+09;-1.361326772259905E+00;1.570916894855005E+02;
1.003000000000000E+09;-1.381637221631382E+00;1.565947430457321E+02;
1.004000000000000E+09;-1.412658977380968E+00;1.561281699602710E+02;
1.005000000000000E+09;-1.440714596067856E+00;1.556783205792629E+02;
1.006000000000000E+09;-1.466931523999810E+00;1.551506207844020E+02;
1.007000000000000E+09;-1.501390159535591E+00;1.546705198975319E+02;
1.008000000000000E+09;-1.534429438859671E+00;1.541739306661906E+02;
1.009000000000000E+09;-1.566729391276707E+00;1.536644836216463E+02;
1.010000000000000E+09;-1.598389963197766E+00;1.531380153348207E+02;
1.011000000000000E+09;-1.639360893154573E+00;1.526015396222039E+02;
1.012000000000000E+09;-1.675040617272647E+00;1.520494344581734E+02;
1.013000000000000E+09;-1.711698721741597E+00;1.515219302089684E+02;
1.014000000000000E+09;-1.748552161872205E+00;1.509334603361388E+02;
1.015000000000000E+09;-1.792496932073427E+00;1.503711602186966E+02;
1.016000000000000E+09;-1.833277000772507E+00;1.497964250255461E+02;
1.017000000000000E+09;-1.871461856348100E+00;1.491737880768149E+02;
1.018000000000000E+09;-1.919662189522549E+00;1.485715102766155E+02;
1.019000000000000E+09;-1.965657970916991E+00;1.479608670451675E+02;
1.020000000000000E+09;-2.013612132706779E+00;1.473578854002258E+02;
1.021000000000000E+09;-2.059279504313317E+00;1.467163467067473E+02;
1.022000000000000E+09;-2.107038140268863E+00;1.460689269288802E+02;
1.023000000000000E+09;-2.162585986373957E+00;1.454430394192403E+02;
1.024000000000000E+09;-2.212651015168467E+00;1.448041081211569E+02;
1.025000000000000E+09;-2.268507762218884E+00;1.441465211388110E+02;
1.026000000000000E+09;-2.320507242430248E+00;1.435063597892694E+02;
1.027000000000000E+09;-2.373475057687997E+00;1.428600260876503E+02;
1.028000000000000E+09;-2.424921517721569E+00;1.421851430935472E+02;
1.029000000000000E+09;-2.480269926190072E+00;1.415537530635139E+02;
1.030000000000000E+09;-2.534850663071686E+00;1.409035722464947E+02;
1.031000000000000E+09;-2.593973573419639E+00;1.402448920397154E+02;
1.032000000000000E+09;-2.646241465896433E+00;1.395497519225246E+02;
1.033000000000000E+09;-2.700506738214619E+00;1.389053506386305E+02;
1.034000000000000E+09;-2.752910286622382E+00;1.382621401080122E+02;
1.035000000000000E+09;-2.811294499323798E+00;1.376167608576073E+02;
1.036000000000000E+09;-2.863233412117960E+00;1.369586436709160E+02;
1.037000000000000E+09;-2.917716323435035E+00;1.362804402632297E+02;
1.038000000000000E+09;-2.969697300986852E+00;1.356491003648589E+02;
1.039000000000000E+09;-3.021418664846982E+00;1.350035373930302E+02;
1.040000000000000E+09;-3.073577697283682E+00;1.343450411396938E+02;
1.041000000000000E+09;-3.134782757308662E+00;1.337324454154271E+02;
1.042000000000000E+09;-3.180565260062128E+00;1.331099321498158E+02;
1.043000000000000E+09;-3.239342121535203E+00;1.324792258882748E+02;
1.044000000000000E+09;-3.284983858794451E+00;1.318309625081327E+02;
1.045000000000000E+09;-3.336916998195044E+00;1.312480439880168E+02;
1.046000000000000E+09;-3.384277950742913E+00;1.306625234622255E+02;
1.047000000000000E+09;-3.436541804264983E+00;1.300333975264531E+02;
1.048000000000000E+09;-3.482588366691980E+00;1.294516230484478E+02;
1.049000000000000E+09;-3.532011872611799E+00;1.288723850071627E+02;
1.050000000000000E+09;-3.581969935362355E+00;1.282638995606921E+02;
1.051000000000000E+09;-3.625122941857458E+00;1.276993225502414E+02;
1.052000000000000E+09;-3.672965538215438E+00;1.271475019573617E+02;
1.053000000000000E+09;-3.720984972454549E+00;1.265892133949193E+02;
1.054000000000000E+09;-3.768640247719841E+00;1.259757867780501E+02;
1.055000000000000E+09;-3.807620637345624E+00;1.254165013653715E+02;
1.056000000000000E+09;-3.860005040978743E+00;1.248892118958707E+02;
1.057000000000000E+09;-3.906512409636758E+00;1.243386603887255E+02;
1.058000000000000E+09;-3.956875662830919E+00;1.237636879529910E+02;
1.059000000000000E+09;-4.003956503634873E+00;1.232251581924638E+02;
1.060000000000000E+09;-4.055589910833028E+00;1.226627167055695E+02;
1.061000000000000E+09;-4.106255656528695E+00;1.221277746856643E+02;
1.062000000000000E+09;-4.161956335455158E+00;1.215531686724301E+02;
1.063000000000000E+09;-4.220093579295849E+00;1.210468951460549E+02;
1.064000000000000E+09;-4.273066998448432E+00;1.205198067725153E+02;
1.065000000000000E+09;-4.334428497327253E+00;1.199978043905429E+02;
1.066000000000000E+09;-4.399392407855737E+00;1.194707431673211E+02;
1.067000000000000E+09;-4.461318581232815E+00;1.189660617721665E+02;
1.068000000000000E+09;-4.531653636115190E+00;1.184755980501517E+02;
1.069000000000000E+09;-4.600108748425631E+00;1.179119537858782E+02;
1.070000000000000E+09;-4.672336464558647E+00;1.173656056065302E+02;
1.071000000000000E+09;-4.749310714078169E+00;1.168859114380438E+02;
1.072000000000000E+09;-4.829201502775727E+00;1.163635321003755E+02;
1.073000000000000E+09;-4.914827908179580E+00;1.158102375641654E+02;
1.074000000000000E+09;-5.006106904438070E+00;1.153265050959352E+02;
1.075000000000000E+09;-5.098874447967160E+00;1.147866489324717E+02;
1.076000000000000E+09;-5.197571127848454E+00;1.143017351922447E+02;
1.077000000000000E+09;-5.305069534289103E+00;1.137275396921768E+02;
1.078000000000000E+09;-5.414742774850728E+00;1.132828092032663E+02;
1.079000000000000E+09;-5.532403940311141E+00;1.127465546676867E+02;
1.080000000000000E+09;-5.662353148595836E+00;1.121969669521835E+02;
1.081000000000000E+09;-5.787716035664387E+00;1.116936929117440E+02;
1.082000000000000E+09;-5.927550127916411E+00;1.111750229442662E+02;
1.083000000000000E+09;-6.082080495441361E+00;1.106740541877019E+02;
1.084000000000000E+09;-6.248234437154849E+00;1.101783218278297E+02;
1.085000000000000E+09;-6.412785635632612E+00;1.096913973499032E+02;
1.086000000000000E+09;-6.594724819537021E+00;1.092795961640288E+02;
1.087000000000000E+09;-6.779162201964773E+00;1.088644882577278E+02;
1.088000000000000E+09;-6.977303416025826E+00;1.084381941732216E+02;
1.089000000000000E+09;-7.183557279647452E+00;1.081067524753560E+02;
1.090000000000000E+09;-7.400060471737788E+00;1.077638260279041E+02;
1.091000000000000E+09;-7.629552559273338E+00;1.074361644853236E+02;
1.092000000000000E+09;-7.865106151447000E+00;1.071742495789837E+02;
1.093000000000000E+09;-8.110285793049966E+00;1.069262756301255E+02;
1.094000000000000E+09;-8.378482940080728E+00;1.066802248413671E+02;
1.095000000000000E+09;-8.658589137157717E+00;1.064747901866467E+02;
1.096000000000000E+09;-8.960993049687442E+00;1.063702461662091E+02;
1.097000000000000E+09;-9.270133296950005E+00;1.063965371752346E+02;
1.098000000000000E+09;-9.599674053858399E+00;1.064171705534001E+02;
1.099000000000000E+09;-9.942426833923395E+00;1.065951480340886E+02;
1.100000000000000E+09;-1.030258863606598E+01;1.069006460451999E+02;
1.101000000000000E+09;-1.068380001211739E+01;1.072899324078856E+02;
1.102000000000000E+09;-1.108049188991913E+01;1.078781234939227E+02;
1.103000000000000E+09;-1.148961368823630E+01;1.087148164238239E+02;
1.104000000000000E+09;-1.192940739065611E+01;1.097390663239577E+02;
1.105000000000000E+09;-1.236674233286387E+01;1.110470630773079E+02;
1.106000000000000E+09;-1.281049853828301E+01;1.126789641882209E+02;
1.107000000000000E+09;-1.325384194792546E+01;1.146610239831997E+02;
1.108000000000000E+09;-1.367243096903723E+01;1.170686523219466E+02;
1.109000000000000E+09;-1.408578694942914E+01;1.197065431683830E+02;
1.110000000000000E+09;-1.446551617080272E+01;1.226987626355622E+02;
1.111000000000000E+09;-1.480466498046284E+01;1.261459105719486E+02;
1.112000000000000E+09;-1.507959935273398E+01;1.298497627525120E+02;
1.113000000000000E+09;-1.532543366997103E+01;1.338467772673513E+02;
1.114000000000000E+09;-1.549211821866269E+01;1.381443733630597E+02;
1.115000000000000E+09;-1.555193937156051E+01;1.426896084269527E+02;
1.116000000000000E+09;-1.554064084996734E+01;1.470640682650031E+02;
1.117000000000000E+09;-1.542925965651922E+01;1.514952354411777E+02;
1.118000000000000E+09;-1.523339591879618E+01;1.556096016402741E+02;
1.119000000000000E+09;-1.495187113986752E+01;1.595587845323237E+02;
1.120000000000000E+09;-1.464278417420502E+01;1.629507563337956E+02;
1.121000000000000E+09;-1.427293876350261E+01;1.659846500653283E+02;
1.122000000000000E+09;-1.386340127327804E+01;1.687477990495419E+02;
1.123000000000000E+09;-1.343542824659261E+01;1.710206370365733E+02;
1.124000000000000E+09;-1.299038259653999E+01;1.728902383895567E+02;
1.125000000000000E+09;-1.255036006549729E+01;1.743528700738978E+02;
1.126000000000000E+09;-1.210230084974929E+01;1.755671409657775E+02;
1.127000000000000E+09;-1.167664636947961E+01;1.764042212378290E+02;
1.128000000000000E+09;-1.124741743801801E+01;1.770078882596535E+02;
1.129000000000000E+09;-1.083754597149267E+01;1.773253180816205E+02;
1.130000000000000E+09;-1.044610855723637E+01;1.775139664774510E+02;
1.131000000000000E+09;-1.007553707551093E+01;1.774192383105037E+02;
1.132000000000000E+09;-9.722886983494131E+00;1.772884400989807E+02;
1.133000000000000E+09;-9.383790076196032E+00;1.769861588540975E+02;
1.134000000000000E+09;-9.054711806508223E+00;1.766644370471641E+02;
1.135000000000000E+09;-8.745631664466659E+00;1.762295574677881E+02;
1.136000000000000E+09;-8.447698407899066E+00;1.757031930505296E+02;
1.137000000000000E+09;-8.155035061342440E+00;1.751103407135423E+02;
1.138000000000000E+09;-7.875724275188932E+00;1.744525022005240E+02;
1.139000000000000E+09;-7.621132500786658E+00;1.737082841201095E+02;
1.140000000000000E+09;-7.371474742671746E+00;1.730003229425676E+02;
