# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.343297274695039E+00;1.580564839768745E+02;
1.001000000000000E+09;-1.368287183693646E+00;1.576246950319504E+02;
1.002000000000000E+09;-1.394493474954495E+00;1.572055505315269E+02;
1.003000000000000E+09;-1.419437145137827E+00;1.567361029601892E+02;
1.004000000000000E+09;-1.450222642333310E+00;1.562753094110912E+02;
1.005000000000000E+09;-1.476949038420186E+00;1.558304409895631E+02;
1.006000000000000E+09;-1.506162404768372E+00;1.553375020544694E+02;
1.007000000000000E+09;-1.540323761266865E+00;1.548441918413172E+02;
1.008000000000000E+09;-1.570328284959538E+00;1.543557587341788E+02;
1.009000000000000E+09;-1.604877903716320E+00;1.538509474134443E+02;
1.010000000000000E+09;-1.638787085352206E+00;1.533316350066600E+02;
1.011000000000000E+09;-1.679030584028002E+00;1.527817858328583E+02;
1.012000000000000E+09;-1.716259808443315E+00;1.522362961107438E+02;
1.013000000000000E+09;-1.754243479837164E+00;1.517006692546725E+02;
1.014000000000000E+09;-1.794782366659482E+00;1.511052186110613E+02;
1.015000000000000E+09;-1.839001458581216E+00;1.505365585438343E+02;
1.016000000000000E+09;-1.881141031194989E+00;1.499516829933540E+02;
1.017000000000000E+09;-1.922715928015625E+00;1.493281740990023E+02;
1.018000000000000E+09;-1.973258239489603E+00;1.487090990154929E+02;
1.019000000000000E+09;-2.023227337019690E+00;1.480677343908886E+02;
1.020000000000000E+09;-2.071576878577263E+00;1.474497860554788E+02;
1.021000000000000E+09;-2.121994887870000E+00;1.467943338363018E+02;
1.022000000000000E+09;-2.174448080694070E+00;1.461179178914974E+02;
1.023000000000000E+09;-2.231500435843879E+00;1.454632467437478E+02;
1.024000000000000E+09;-2.285563748201023E+00;1.448011573129621E+02;
1.025000000000000E+09;-2.342823752107801E+00;1.440924248919987E+02;
1.026000000000000E+09;-2.400016788231301E+00;1.434160498801963E+02;
1.027000000000000E+09;-2.459433034870877E+00;1.427426935671596E+02;
1.028000000000000E+09;-2.520221636064998E+00;1.420076810164796E+02;
1.029000000000000E+09;-2.580916498211534E+00;1.413358783014474E+02;
1.030000000000000E+09;-2.646783267325013E+00;1.406534721385981E+02;
1.031000000000000E+09;-2.708114805541696E+00;1.399365334129168E+02;
1.032000000000000E+09;-2.769142763060993E+00;1.392379856710729E+02;
1.033000000000000E+09;-2.833003830527913E+00;1.385381106357988E+02;
1.034000000000000E+09;-2.895495137555016E+00;1.378636715641397E+02;
1.035000000000000E+09;-2.962469580765422E+00;1.372035361596238E+02;
1.036000000000000E+09;-3.020563669774291E+00;1.365125650809096E+02;
1.037000000000000E+09;-3.085730433272907E+00;1.358049165345421E+02;
1.038000000000000E+09;-3.147727563711380E+00;1.351672809111103E+02;
1.039000000000000E+09;-3.209421086012951E+00;1.345213914056529E+02;
1.040000000000000E+09;-3.264951436644739E+00;1.338339902957265E+02;
1.041000000000000E+09;-3.329238282277008E+00;1.331873907983591E+02;
1.042000000000000E+09;-3.383103204044593E+00;1.325206745840724E+02;
1.043000000000000E+09;-3.445443004471402E+00;1.318520313655951E+02;
1.044000000000000E+09;-3.500192681754017E+00;1.312083384500407E+02;
1.045000000000000E+09;-3.558356903961950E+00;1.305876945512514E+02;
1.046000000000000E+09;-3.611381785991961E+00;1.299581332055677E+02;
1.047000000000000E+09;-3.669290845754237E+00;1.293068824103198E+02;
1.048000000000000E+09;-3.726522705367960E+00;1.286549496228088E+02;
1.049000000000000E+09;-3.778540766818899E+00;1.280649977022541E+02;
1.050000000000000E+09;-3.830555165900834E+00;1.274395939907214E+02;
1.051000000000000E+09;-3.882596012667366E+00;1.268431088620677E+02;
1.052000000000000E+09;-3.935380038608349E+00;1.262480807133900E+02;
1.053000000000000E+09;-3.985827242126867E+00;1.256473258037285E+02;
1.054000000000000E+09;-4.035963394295925E+00;1.250213847640853E+02;
