# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.322604691811712E+00;1.579888660838202E+02;
1.001000000000000E+09;-1.347378714726325E+00;1.575298164792047E+02;
1.002000000000000E+09;-1.372343211137139E+00;1.570847327873875E+02;
1.003000000000000E+09;-1.399084493003511E+00;1.566447979254138E+02;
1.004000000000000E+09;-1.426535246675289E+00;1.561795216842922E+02;
1.005000000000000E+09;-1.453936666605006E+00;1.557189229527884E+02;
1.006000000000000E+09;-1.481706589990229E+00;1.552132339980116E+02;
1.007000000000000E+09;-1.516045245501051E+00;1.547237577496556E+02;
1.008000000000000E+09;-1.546018707413983E+00;1.542556421684876E+02;
1.009000000000000E+09;-1.579529042705420E+00;1.537423556324883E+02;
1.010000000000000E+09;-1.612792782938753E+00;1.532150259369150E+02;
1.011000000000000E+09;-1.652183594435310E+00;1.526731528767058E+02;
1.012000000000000E+09;-1.687239897815339E+00;1.521260104988720E+02;
1.013000000000000E+09;-1.721334842598383E+00;1.515931597411949E+02;
1.014000000000000E+09;-1.763027688622450E+00;1.510129944299679E+02;
1.015000000000000E+09;-1.805351842726771E+00;1.504441538400282E+02;
1.016000000000000E+09;-1.844071393392768E+00;1.498727206838587E+02;
1.017000000000000E+09;-1.885546662171963E+00;1.492601875845142E+02;
1.018000000000000E+09;-1.931418207753909E+00;1.486397286050677E+02;
1.019000000000000E+09;-1.978491575303252E+00;1.480327756260115E+02;
1.020000000000000E+09;-2.025334916447907E+00;1.474132332662158E+02;
1.021000000000000E+09;-2.072525259378837E+00;1.467517618742774E+02;
1.022000000000000E+09;-2.122303377039755E+00;1.461056142107653E+02;
1.023000000000000E+09;-2.173845952925275E+00;1.454551946346978E+02;
1.024000000000000E+09;-2.227077249619542E+00;1.448051331728849E+02;
1.025000000000000E+09;-2.279384634578167E+00;1.441310848514971E+02;
1.026000000000000E+09;-2.336555648762550E+00;1.434838381506773E+02;
1.027000000000000E+09;-2.387477388988176E+00;1.428195238075706E+02;
1.028000000000000E+09;-2.445798313566155E+00;1.421193530096052E+02;
1.029000000000000E+09;-2.498101595539076E+00;1.414678833436150E+02;
1.030000000000000E+09;-2.556837337225115E+00;1.407851912581129E+02;
1.031000000000000E+09;-2.615407033788694E+00;1.400868860961031E+02;
1.032000000000000E+09;-2.671205014871475E+00;1.393990707499073E+02;
1.033000000000000E+09;-2.726202850829698E+00;1.387189587726754E+02;
1.034000000000000E+09;-2.780326792991587E+00;1.380691362361835E+02;
1.035000000000000E+09;-2.839117189482594E+00;1.373861329339353E+02;
1.036000000000000E+09;-2.891684621061018E+00;1.366829257186115E+02;
1.037000000000000E+09;-2.951845891038534E+00;1.359821470469838E+02;
1.038000000000000E+09;-3.004352579734115E+00;1.353646946869351E+02;
1.039000000000000E+09;-3.062716213574646E+00;1.346911556658588E+02;
1.040000000000000E+09;-3.117480443687435E+00;1.340165651730693E+02;
1.041000000000000E+09;-3.172764795791452E+00;1.333639774510708E+02;
1.042000000000000E+09;-3.228202409863778E+00;1.326821445261515E+02;
1.043000000000000E+09;-3.281334088914107E+00;1.320239075686555E+02;
1.044000000000000E+09;-3.332803780348582E+00;1.313449640075615E+02;
1.045000000000000E+09;-3.389009259337568E+00;1.307600104775974E+02;
1.046000000000000E+09;-3.435038047061392E+00;1.301062276965519E+02;
1.047000000000000E+09;-3.487764702690221E+00;1.294622181663092E+02;
1.048000000000000E+09;-3.541316902336557E+00;1.288191209775908E+02;
1.049000000000000E+09;-3.593345838270576E+00;1.282260776846872E+02;
1.050000000000000E+09;-3.640477466885106E+00;1.275841205776091E+02;
1.051000000000000E+09;-3.692485503401393E+00;1.269918269172525E+02;
1.052000000000000E+09;-3.741181899536375E+00;1.263919860063740E+02;
1.053000000000000E+09;-3.795971169884301E+00;1.257787253771225E+02;
1.054000000000000E+09;-3.848819459036877E+00;1.251761826849195E+02;
1.055000000000000E+09;-3.894078108001762E+00;1.245712473410952E+02;
1.056000000000000E+09;-3.950051788287143E+00;1.240209403421498E+02;
1.057000000000000E+09;-4.002121059773115E+00;1.234503595286392E+02;
1.058000000000000E+09;-4.057246719223842E+00;1.228582288435049E+02;
1.059000000000000E+09;-4.111982586614202E+00;1.223129840741437E+02;
1.060000000000000E+09;-4.167144257122448E+00;1.217508935496494E+02;
1.061000000000000E+09;-4.224249765107633E+00;1.211928633954170E+02;
1.062000000000000E+09;-4.282077768340452E+00;1.206241566929233E+02;
1.063000000000000E+09;-4.342598111271580E+00;1.201051688663259E+02;
1.064000000000000E+09;-4.400556053152015E+00;1.195864112599746E+02;
1.065000000000000E+09;-4.465716774225245E+00;1.190430481668011E+02;
1.066000000000000E+09;-4.533618584246920E+00;1.184957778834938E+02;
1.067000000000000E+09;-4.599048375278537E+00;1.179708869388840E+02;
1.068000000000000E+09;-4.676212002518205E+00;1.174762504562044E+02;
1.069000000000000E+09;-4.746676450209032E+00;1.169272052217117E+02;
1.070000000000000E+09;-4.830099617967313E+00;1.164020778019497E+02;
1.071000000000000E+09;-4.907108424595961E+00;1.159339782937197E+02;
1.072000000000000E+09;-4.991659020034975E+00;1.154244431254750E+02;
1.073000000000000E+09;-5.080645834156876E+00;1.148952766657295E+02;
1.074000000000000E+09;-5.172385722956082E+00;1.143736673597583E+02;
1.075000000000000E+09;-5.270146915718192E+00;1.138458689045377E+02;
1.076000000000000E+09;-5.370598589934863E+00;1.133482731930619E+02;
1.077000000000000E+09;-5.480386250345807E+00;1.127983039232502E+02;
1.078000000000000E+09;-5.602299660656954E+00;1.123115184274276E+02;
1.079000000000000E+09;-5.723372893017845E+00;1.117975010880608E+02;
1.080000000000000E+09;-5.856807735122123E+00;1.112434221500479E+02;
1.081000000000000E+09;-5.996529751454745E+00;1.107546239761047E+02;
1.082000000000000E+09;-6.142640754855986E+00;1.102993015877060E+02;
1.083000000000000E+09;-6.297312235006013E+00;1.097933780172568E+02;
1.084000000000000E+09;-6.471439910523898E+00;1.093407346809895E+02;
1.085000000000000E+09;-6.644089021793449E+00;1.089009582777217E+02;
1.086000000000000E+09;-6.829836529417548E+00;1.085065903429489E+02;
1.087000000000000E+09;-7.023176807253621E+00;1.080743867027240E+02;
1.088000000000000E+09;-7.231175076291692E+00;1.076599637370386E+02;
1.089000000000000E+09;-7.449052199987576E+00;1.073046738799112E+02;
1.090000000000000E+09;-7.680185556914518E+00;1.070271899632766E+02;
1.091000000000000E+09;-7.921055844048816E+00;1.067074107507642E+02;
1.092000000000000E+09;-8.177030055981136E+00;1.065029002719740E+02;
1.093000000000000E+09;-8.443301021304393E+00;1.063907712283377E+02;
1.094000000000000E+09;-8.725825919824842E+00;1.062484874474771E+02;
1.095000000000000E+09;-9.017427263735184E+00;1.061834207499561E+02;
1.096000000000000E+09;-9.324992941654578E+00;1.062985420267072E+02;
1.097000000000000E+09;-9.639242677103780E+00;1.063850301424091E+02;
1.098000000000000E+09;-9.974503470286500E+00;1.066335666593970E+02;
1.099000000000000E+09;-1.031967823471248E+01;1.069409915032463E+02;
1.100000000000000E+09;-1.068228349004512E+01;1.074023301291400E+02;
1.101000000000000E+09;-1.105920947231632E+01;1.079907746930878E+02;
1.102000000000000E+09;-1.145326776083785E+01;1.087360172969732E+02;
1.103000000000000E+09;-1.186174179385639E+01;1.096534746856037E+02;
1.104000000000000E+09;-1.228336289190331E+01;1.108628206847962E+02;
1.105000000000000E+09;-1.271340197181054E+01;1.122993118534834E+02;
1.106000000000000E+09;-1.315783084562617E+01;1.139944155684198E+02;
1.107000000000000E+09;-1.359998116623590E+01;1.161527597998838E+02;
1.108000000000000E+09;-1.402172620402937E+01;1.186081246731365E+02;
1.109000000000000E+09;-1.444084513801014E+01;1.215685173946438E+02;
