# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.342142090162308E+00;1.581879446184091E+02;
1.001000000000000E+09;-1.367759816939846E+00;1.577331192463562E+02;
1.002000000000000E+09;-1.393500760840652E+00;1.573052635506598E+02;
1.003000000000000E+09;-1.418440922564527E+00;1.568568012671037E+02;
1.004000000000000E+09;-1.448889477372818E+00;1.564012090042492E+02;
1.005000000000000E+09;-1.476297751514191E+00;1.559404632597072E+02;
1.006000000000000E+09;-1.504331900590625E+00;1.554540213795315E+02;
1.007000000000000E+09;-1.535212832798489E+00;1.549490433345744E+02;
1.008000000000000E+09;-1.570400880355197E+00;1.544796227648878E+02;
1.009000000000000E+09;-1.604051348999645E+00;1.539682887268964E+02;
1.010000000000000E+09;-1.636666878712953E+00;1.534758560235496E+02;
1.011000000000000E+09;-1.673674835402000E+00;1.529285919453673E+02;
1.012000000000000E+09;-1.710809711647217E+00;1.523794418892747E+02;
1.013000000000000E+09;-1.749095851951208E+00;1.518191143355269E+02;
1.014000000000000E+09;-1.788537230900284E+00;1.512450630315493E+02;
1.015000000000000E+09;-1.831183513989037E+00;1.506794583533966E+02;
1.016000000000000E+09;-1.876315664937465E+00;1.500858633196054E+02;
1.017000000000000E+09;-1.919606068462948E+00;1.494501140754886E+02;
1.018000000000000E+09;-1.966734218474571E+00;1.488356810386879E+02;
1.019000000000000E+09;-2.017098880074465E+00;1.481984432679123E+02;
1.020000000000000E+09;-2.065521142380841E+00;1.475747656522487E+02;
1.021000000000000E+09;-2.115672446820490E+00;1.469146541092052E+02;
1.022000000000000E+09;-2.169194301433318E+00;1.462439603858820E+02;
1.023000000000000E+09;-2.225803361547514E+00;1.455863274136678E+02;
1.024000000000000E+09;-2.281247968974617E+00;1.449222549357586E+02;
1.025000000000000E+09;-2.340547450565653E+00;1.442206359422189E+02;
1.026000000000000E+09;-2.401458886487821E+00;1.435363654586135E+02;
1.027000000000000E+09;-2.455118647547270E+00;1.428638186650941E+02;
1.028000000000000E+09;-2.518980413930398E+00;1.421514532483752E+02;
1.029000000000000E+09;-2.578518433138712E+00;1.414969581709053E+02;
1.030000000000000E+09;-2.641651293853565E+00;1.407961047858492E+02;
1.031000000000000E+09;-2.708570627848470E+00;1.400887678190882E+02;
1.032000000000000E+09;-2.767141198274335E+00;1.393583243750240E+02;
1.033000000000000E+09;-2.828846568752363E+00;1.386768733128052E+02;
1.034000000000000E+09;-2.893680378511132E+00;1.379776824505774E+02;
1.035000000000000E+09;-2.956037953052530E+00;1.373311870837909E+02;
1.036000000000000E+09;-3.021930499441525E+00;1.366344148905492E+02;
1.037000000000000E+09;-3.085105316339070E+00;1.359178492374071E+02;
1.038000000000000E+09;-3.143596477758713E+00;1.352807104901380E+02;
1.039000000000000E+09;-3.208849436893716E+00;1.346026173847089E+02;
1.040000000000000E+09;-3.269928238145942E+00;1.339204233819376E+02;
1.041000000000000E+09;-3.328799213348685E+00;1.332856936831601E+02;
1.042000000000000E+09;-3.389613525304252E+00;1.326408820228721E+02;
1.043000000000000E+09;-3.448104550861982E+00;1.319602230151826E+02;
1.044000000000000E+09;-3.504680935400464E+00;1.313269534418115E+02;
1.045000000000000E+09;-3.562552142112411E+00;1.307068539457069E+02;
1.046000000000000E+09;-3.613939516698163E+00;1.300739178847748E+02;
1.047000000000000E+09;-3.673341473521055E+00;1.294066996347340E+02;
1.048000000000000E+09;-3.725638579872685E+00;1.287769183576365E+02;
1.049000000000000E+09;-3.778735235405932E+00;1.282027442703620E+02;
1.050000000000000E+09;-3.833442521416489E+00;1.275574557379351E+02;
1.051000000000000E+09;-3.884484335161162E+00;1.269476205755958E+02;
1.052000000000000E+09;-3.939631138600046E+00;1.263521394174460E+02;
1.053000000000000E+09;-3.990446335273240E+00;1.257403508837484E+02;
1.054000000000000E+09;-4.045686485016962E+00;1.251186286390102E+02;
1.055000000000000E+09;-4.092798354893631E+00;1.245212252386460E+02;
1.056000000000000E+09;-4.148453214235498E+00;1.239850268092327E+02;
1.057000000000000E+09;-4.198533564473213E+00;1.233980894636527E+02;
1.058000000000000E+09;-4.253086286034145E+00;1.228059430396454E+02;
1.059000000000000E+09;-4.308381042205742E+00;1.222621755721542E+02;
1.060000000000000E+09;-4.359782821699623E+00;1.216737319815696E+02;
1.061000000000000E+09;-4.414700295854454E+00;1.211277717288996E+02;
1.062000000000000E+09;-4.469491274784752E+00;1.205334135735139E+02;
1.063000000000000E+09;-4.530023170430659E+00;1.200151248598377E+02;
1.064000000000000E+09;-4.587080148719344E+00;1.194798634630583E+02;
1.065000000000000E+09;-4.650481963600100E+00;1.189292191763750E+02;
1.066000000000000E+09;-4.714884586455844E+00;1.183838807199233E+02;
1.067000000000000E+09;-4.777328790390997E+00;1.178473989536528E+02;
1.068000000000000E+09;-4.845912189743843E+00;1.173341708513820E+02;
1.069000000000000E+09;-4.917266679732393E+00;1.167623614105274E+02;
1.070000000000000E+09;-4.992091377264465E+00;1.162252970322027E+02;
1.071000000000000E+09;-5.068919865981020E+00;1.157485734130967E+02;
1.072000000000000E+09;-5.148654108547886E+00;1.151920117290620E+02;
1.073000000000000E+09;-5.232568483089005E+00;1.146646397916207E+02;
1.074000000000000E+09;-5.320786615717386E+00;1.141851355989218E+02;
1.075000000000000E+09;-5.405677562743808E+00;1.136218241035159E+02;
1.076000000000000E+09;-5.501197105088273E+00;1.130973618029213E+02;
1.077000000000000E+09;-5.603749419217506E+00;1.125108572007824E+02;
