# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.334379342760781E+00;1.579298211340980E+02;
1.001000000000000E+09;-1.357557296733049E+00;1.574878218361576E+02;
1.002000000000000E+09;-1.387834336983964E+00;1.570208928344993E+02;
1.003000000000000E+09;-1.413752122200563E+00;1.565785416299036E+02;
1.004000000000000E+09;-1.443135176233483E+00;1.560755665863692E+02;
1.005000000000000E+09;-1.472333610988595E+00;1.556408083094567E+02;
1.006000000000000E+09;-1.497976235596586E+00;1.551434765345193E+02;
1.007000000000000E+09;-1.534482903150159E+00;1.546209437565818E+02;
1.008000000000000E+09;-1.566421064123492E+00;1.541511382793849E+02;
1.009000000000000E+09;-1.602298770908145E+00;1.536252155727086E+02;
1.010000000000000E+09;-1.636835483330348E+00;1.531065496647033E+02;
1.011000000000000E+09;-1.676721813859749E+00;1.525587016552811E+02;
1.012000000000000E+09;-1.713127807918224E+00;1.520143320771174E+02;
1.013000000000000E+09;-1.748873533449573E+00;1.514742192670300E+02;
1.014000000000000E+09;-1.789805604882522E+00;1.508921127211315E+02;
1.015000000000000E+09;-1.835148537487608E+00;1.503199984349456E+02;
1.016000000000000E+09;-1.873712327401895E+00;1.497256799261983E+02;
1.017000000000000E+09;-1.916369166757720E+00;1.491071719948605E+02;
1.018000000000000E+09;-1.965557994294185E+00;1.484984870273560E+02;
1.019000000000000E+09;-2.015773905685053E+00;1.478730403908797E+02;
1.020000000000000E+09;-2.060933926868862E+00;1.472668130238281E+02;
1.021000000000000E+09;-2.110882495757703E+00;1.466116362545834E+02;
1.022000000000000E+09;-2.160090204483341E+00;1.459653763406503E+02;
1.023000000000000E+09;-2.215177432185568E+00;1.453180716803946E+02;
1.024000000000000E+09;-2.268462537132617E+00;1.446659282664976E+02;
1.025000000000000E+09;-2.324297783931150E+00;1.439716007512343E+02;
1.026000000000000E+09;-2.378330880744989E+00;1.433070492185745E+02;
1.027000000000000E+09;-2.432325509457338E+00;1.426648112866351E+02;
1.028000000000000E+09;-2.487357993578507E+00;1.419276889809975E+02;
1.029000000000000E+09;-2.545085353126188E+00;1.412917973110205E+02;
1.030000000000000E+09;-2.606169442114317E+00;1.405878144685929E+02;
1.031000000000000E+09;-2.662911079639689E+00;1.399034810348292E+02;
1.032000000000000E+09;-2.723050634988962E+00;1.392133162817939E+02;
1.033000000000000E+09;-2.777134463117524E+00;1.385383478517307E+02;
1.034000000000000E+09;-2.834968336445573E+00;1.378523829575618E+02;
1.035000000000000E+09;-2.894835813170831E+00;1.372027884055304E+02;
1.036000000000000E+09;-2.953493814610536E+00;1.365049096691715E+02;
1.037000000000000E+09;-3.009588234384346E+00;1.357897211533618E+02;
1.038000000000000E+09;-3.065492642344815E+00;1.351508462127613E+02;
1.039000000000000E+09;-3.123923649444979E+00;1.344824172642475E+02;
1.040000000000000E+09;-3.180009885618190E+00;1.338037408976508E+02;
1.041000000000000E+09;-3.238758213965649E+00;1.331772344338984E+02;
1.042000000000000E+09;-3.289811394973820E+00;1.324898052199113E+02;
1.043000000000000E+09;-3.347806557663447E+00;1.318006137356274E+02;
1.044000000000000E+09;-3.403341104761101E+00;1.311456593354773E+02;
1.045000000000000E+09;-3.456224662164884E+00;1.305286803822973E+02;
1.046000000000000E+09;-3.510869495532723E+00;1.298843202956227E+02;
1.047000000000000E+09;-3.565788301500930E+00;1.292324647930669E+02;
1.048000000000000E+09;-3.618307636905268E+00;1.285804065599825E+02;
1.049000000000000E+09;-3.673959518228987E+00;1.279811458747717E+02;
1.050000000000000E+09;-3.728590263895056E+00;1.273565940384140E+02;
1.051000000000000E+09;-3.775578601947987E+00;1.267544723255221E+02;
1.052000000000000E+09;-3.837359464077009E+00;1.261393204854895E+02;
1.053000000000000E+09;-3.893536605086364E+00;1.255555985391244E+02;
1.054000000000000E+09;-3.946570252638637E+00;1.249604477946647E+02;
1.055000000000000E+09;-3.992153275354306E+00;1.243612266733665E+02;
1.056000000000000E+09;-4.052610450788301E+00;1.237907408783655E+02;
1.057000000000000E+09;-4.108000054782411E+00;1.232284674506705E+02;
1.058000000000000E+09;-4.164107107698372E+00;1.226513580589176E+02;
1.059000000000000E+09;-4.223863442462293E+00;1.220989991056839E+02;
1.060000000000000E+09;-4.282864406527557E+00;1.215366228437914E+02;
1.061000000000000E+09;-4.343722678751485E+00;1.209915854427079E+02;
1.062000000000000E+09;-4.403966401150964E+00;1.203997764878222E+02;
1.063000000000000E+09;-4.472287102199845E+00;1.198999996237844E+02;
1.064000000000000E+09;-4.533380389267227E+00;1.193795758262047E+02;
1.065000000000000E+09;-4.605644088722693E+00;1.188293859277694E+02;
1.066000000000000E+09;-4.677585064128731E+00;1.183022478028739E+02;
1.067000000000000E+09;-4.749757995361788E+00;1.177699353090783E+02;
1.068000000000000E+09;-4.832286998097297E+00;1.172907606792852E+02;
1.069000000000000E+09;-4.912538025484576E+00;1.167373295497759E+02;
1.070000000000000E+09;-4.999109617956208E+00;1.162258018095021E+02;
1.071000000000000E+09;-5.086722977559096E+00;1.157580754125870E+02;
1.072000000000000E+09;-5.180321387273995E+00;1.152694420110722E+02;
1.073000000000000E+09;-5.275424195491356E+00;1.147669794374391E+02;
1.074000000000000E+09;-5.376677545333976E+00;1.142568835420768E+02;
1.075000000000000E+09;-5.489946571765490E+00;1.137719070824542E+02;
1.076000000000000E+09;-5.592706230756938E+00;1.132912862207057E+02;
1.077000000000000E+09;-5.716601103442676E+00;1.127465421582688E+02;
1.078000000000000E+09;-5.848745637064866E+00;1.122903730318402E+02;
1.079000000000000E+09;-5.975890178463574E+00;1.117986222153412E+02;
1.080000000000000E+09;-6.123337391633830E+00;1.112972809626609E+02;
1.081000000000000E+09;-6.276966343544984E+00;1.108411897896829E+02;
1.082000000000000E+09;-6.436342516429544E+00;1.104097278944392E+02;
1.083000000000000E+09;-6.604043542061030E+00;1.100136084158295E+02;
1.084000000000000E+09;-6.783921021619944E+00;1.095930833110555E+02;
1.085000000000000E+09;-6.970338855239988E+00;1.091965619307496E+02;
1.086000000000000E+09;-7.166978681240135E+00;1.088560168127127E+02;
1.087000000000000E+09;-7.384460539326845E+00;1.084952965135654E+02;
1.088000000000000E+09;-7.610282275356629E+00;1.081625518943917E+02;
1.089000000000000E+09;-7.842639113572885E+00;1.079379046288647E+02;
1.090000000000000E+09;-8.090489516215026E+00;1.077141247236458E+02;
1.091000000000000E+09;-8.352376182652829E+00;1.075314648159923E+02;
1.092000000000000E+09;-8.629500164688022E+00;1.074412747444162E+02;
1.093000000000000E+09;-8.924728833275410E+00;1.074275654533309E+02;
1.094000000000000E+09;-9.228350639336488E+00;1.074683793669000E+02;
