# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.335522821924786E+00;1.579151703260185E+02;
1.001000000000000E+09;-1.361022740398985E+00;1.574493044079916E+02;
1.002000000000000E+09;-1.389606535422843E+00;1.569550732558527E+02;
1.003000000000000E+09;-1.414777490308360E+00;1.565040666291300E+02;
1.004000000000000E+09;-1.443310767334147E+00;1.559851116063089E+02;
1.005000000000000E+09;-1.472686197244165E+00;1.555042988467521E+02;
1.006000000000000E+09;-1.500814802667916E+00;1.549775367109509E+02;
1.007000000000000E+09;-1.535827076951265E+00;1.544532451849331E+02;
1.008000000000000E+09;-1.569189723918754E+00;1.539803729327842E+02;
1.009000000000000E+09;-1.602288466358445E+00;1.534356938382202E+02;
1.010000000000000E+09;-1.638421714668139E+00;1.529027449848181E+02;
1.011000000000000E+09;-1.678145843129959E+00;1.523483552687046E+02;
1.012000000000000E+09;-1.715218747710308E+00;1.517990273229546E+02;
1.013000000000000E+09;-1.755778424921415E+00;1.512448040978830E+02;
1.014000000000000E+09;-1.798607415627945E+00;1.506641889351251E+02;
1.015000000000000E+09;-1.842399162547066E+00;1.501086082651790E+02;
1.016000000000000E+09;-1.886361624886979E+00;1.495379298578524E+02;
1.017000000000000E+09;-1.931508612233419E+00;1.489280737601421E+02;
1.018000000000000E+09;-1.978928829546869E+00;1.483421826926245E+02;
1.019000000000000E+09;-2.029523932932573E+00;1.477451959039233E+02;
1.020000000000000E+09;-2.076683339351497E+00;1.471546855548155E+02;
1.021000000000000E+09;-2.127171991322757E+00;1.465480933784673E+02;
1.022000000000000E+09;-2.172989041950725E+00;1.459349756140777E+02;
1.023000000000000E+09;-2.229056319831151E+00;1.453269964190039E+02;
1.024000000000000E+09;-2.281360842544823E+00;1.447002063098242E+02;
1.025000000000000E+09;-2.334621992226659E+00;1.440705711771311E+02;
1.026000000000000E+09;-2.387068024406908E+00;1.434447445463429E+02;
1.027000000000000E+09;-2.439268799292447E+00;1.428163627317054E+02;
1.028000000000000E+09;-2.496584388255784E+00;1.421613186868971E+02;
1.029000000000000E+09;-2.548526849352323E+00;1.415381194737648E+02;
1.030000000000000E+09;-2.608269187412218E+00;1.409153111228059E+02;
1.031000000000000E+09;-2.666951419296785E+00;1.402953596920278E+02;
1.032000000000000E+09;-2.722980831624603E+00;1.396304013333873E+02;
1.033000000000000E+09;-2.775165455869276E+00;1.389690372914481E+02;
1.034000000000000E+09;-2.833574455960334E+00;1.383488127628467E+02;
1.035000000000000E+09;-2.893377181852063E+00;1.377694049063520E+02;
