# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.280230268504726E+00;1.578815245759072E+02;
1.001000000000000E+09;-1.304468938610477E+00;1.573982405899780E+02;
1.002000000000000E+09;-1.330999819412369E+00;1.569237385565100E+02;
1.003000000000000E+09;-1.355612734878809E+00;1.564517217653913E+02;
1.004000000000000E+09;-1.384945957785829E+00;1.559388384720611E+02;
1.005000000000000E+09;-1.411444178611679E+00;1.554848385018777E+02;
1.006000000000000E+09;-1.439497937487797E+00;1.549502024995018E+02;
1.007000000000000E+09;-1.473863152577741E+00;1.544585565827447E+02;
1.008000000000000E+09;-1.506017595980266E+00;1.539780398272134E+02;
1.009000000000000E+09;-1.536982774544579E+00;1.534533961382423E+02;
1.010000000000000E+09;-1.573033090112364E+00;1.529063672580078E+02;
1.011000000000000E+09;-1.614666398606437E+00;1.523630366493912E+02;
1.012000000000000E+09;-1.652143669894296E+00;1.518117966801293E+02;
1.013000000000000E+09;-1.690449827171847E+00;1.512684631167722E+02;
1.014000000000000E+09;-1.730674339373317E+00;1.506946099420272E+02;
1.015000000000000E+09;-1.773813545336885E+00;1.501456447481103E+02;
1.016000000000000E+09;-1.815589601375411E+00;1.495779562086229E+02;
1.017000000000000E+09;-1.856271483114585E+00;1.489770626550184E+02;
1.018000000000000E+09;-1.903319301704097E+00;1.483833749059062E+02;
1.019000000000000E+09;-1.950880186476541E+00;1.478030072265152E+02;
1.020000000000000E+09;-1.995635891463733E+00;1.472109327633529E+02;
1.021000000000000E+09;-2.042305021871806E+00;1.465823830893897E+02;
1.022000000000000E+09;-2.089331063010885E+00;1.459572366702012E+02;
1.023000000000000E+09;-2.140798016455049E+00;1.453416119781226E+02;
1.024000000000000E+09;-2.191081416153319E+00;1.447276571484249E+02;
1.025000000000000E+09;-2.244868135054939E+00;1.440742403822506E+02;
1.026000000000000E+09;-2.298058725818893E+00;1.434146038502233E+02;
1.027000000000000E+09;-2.348124917125980E+00;1.428064613955796E+02;
1.028000000000000E+09;-2.403583337223163E+00;1.421331477437789E+02;
1.029000000000000E+09;-2.453033413909707E+00;1.415168664587093E+02;
1.030000000000000E+09;-2.508897086735521E+00;1.408572989194012E+02;
