# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.288986949124603E+00;1.580845888776300E+02;
1.001000000000000E+09;-1.311082449513707E+00;1.576529549943918E+02;
1.002000000000000E+09;-1.340683126916310E+00;1.571678756452305E+02;
1.003000000000000E+09;-1.362295504583346E+00;1.566898630517126E+02;
1.004000000000000E+09;-1.390980763224030E+00;1.561916909240333E+02;
1.005000000000000E+09;-1.416024347789065E+00;1.557305366295007E+02;
1.006000000000000E+09;-1.445266516625640E+00;1.552238398438633E+02;
1.007000000000000E+09;-1.477149039356125E+00;1.547102593508122E+02;
1.008000000000000E+09;-1.509564060994268E+00;1.542316140456850E+02;
1.009000000000000E+09;-1.541577910769742E+00;1.537115591754253E+02;
1.010000000000000E+09;-1.574724924134281E+00;1.531776608294398E+02;
1.011000000000000E+09;-1.613043726906037E+00;1.526270601112603E+02;
1.012000000000000E+09;-1.648551494734875E+00;1.520866038437241E+02;
1.013000000000000E+09;-1.683688441789829E+00;1.515432518381142E+02;
1.014000000000000E+09;-1.722006454697165E+00;1.509803804042987E+02;
1.015000000000000E+09;-1.762435635358670E+00;1.504060391370576E+02;
1.016000000000000E+09;-1.802742309688669E+00;1.498370085970336E+02;
1.017000000000000E+09;-1.846445680313993E+00;1.492301953869414E+02;
1.018000000000000E+09;-1.890269531766012E+00;1.486240146932713E+02;
1.019000000000000E+09;-1.936036309661940E+00;1.480344569035938E+02;
1.020000000000000E+09;-1.981769611580959E+00;1.474345688398150E+02;
1.021000000000000E+09;-2.026153548331159E+00;1.468131732318434E+02;
1.022000000000000E+09;-2.072069968491535E+00;1.461689221658311E+02;
1.023000000000000E+09;-2.125009915285049E+00;1.455713550964562E+02;
1.024000000000000E+09;-2.172250584072403E+00;1.449318090028188E+02;
1.025000000000000E+09;-2.223589124099405E+00;1.442600577300418E+02;
1.026000000000000E+09;-2.271182771072859E+00;1.436298518126973E+02;
1.027000000000000E+09;-2.321990302147719E+00;1.429963923937686E+02;
1.028000000000000E+09;-2.374705669619459E+00;1.423235694713352E+02;
1.029000000000000E+09;-2.423753745612829E+00;1.417050471945041E+02;
1.030000000000000E+09;-2.476488750284618E+00;1.410388630259579E+02;
1.031000000000000E+09;-2.528619378367118E+00;1.403742223334711E+02;
1.032000000000000E+09;-2.582951264711004E+00;1.396996963868810E+02;
1.033000000000000E+09;-2.634651345687446E+00;1.390286986750577E+02;
1.034000000000000E+09;-2.684870768550363E+00;1.383724331051659E+02;
1.035000000000000E+09;-2.736144115216695E+00;1.377282252124414E+02;
1.036000000000000E+09;-2.788574809670564E+00;1.370512188115274E+02;
1.037000000000000E+09;-2.840231666863824E+00;1.363854103307825E+02;
1.038000000000000E+09;-2.891921632805387E+00;1.357480620318488E+02;
