# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.303855993565316E+00;1.577549915619053E+02;
1.001000000000000E+09;-1.327627629553372E+00;1.572877084964917E+02;
1.002000000000000E+09;-1.352267796050509E+00;1.568414982838325E+02;
1.003000000000000E+09;-1.377881902375114E+00;1.563505524053049E+02;
1.004000000000000E+09;-1.405935714795608E+00;1.558547915340651E+02;
1.005000000000000E+09;-1.430524581958998E+00;1.554043010237125E+02;
1.006000000000000E+09;-1.460096873954768E+00;1.548753879929349E+02;
1.007000000000000E+09;-1.490378654135410E+00;1.543777015988402E+02;
1.008000000000000E+09;-1.522738537318949E+00;1.538961879292379E+02;
1.009000000000000E+09;-1.554781859170802E+00;1.533864044743170E+02;
1.010000000000000E+09;-1.584786358604518E+00;1.528464198922057E+02;
1.011000000000000E+09;-1.622574335363478E+00;1.522918914711770E+02;
1.012000000000000E+09;-1.656834146576991E+00;1.517621503617493E+02;
1.013000000000000E+09;-1.691047265569792E+00;1.512176991193546E+02;
1.014000000000000E+09;-1.729719472112944E+00;1.506362216606477E+02;
1.015000000000000E+09;-1.771493142265800E+00;1.500984731682078E+02;
1.016000000000000E+09;-1.810505155930900E+00;1.495346335733011E+02;
1.017000000000000E+09;-1.848446633314505E+00;1.489321983855246E+02;
1.018000000000000E+09;-1.895803827231355E+00;1.483494076497541E+02;
1.019000000000000E+09;-1.937970782262075E+00;1.477515315442432E+02;
1.020000000000000E+09;-1.980563110890139E+00;1.471726277372302E+02;
1.021000000000000E+09;-2.026461269047656E+00;1.465615651680266E+02;
1.022000000000000E+09;-2.071025797517885E+00;1.459421842656344E+02;
1.023000000000000E+09;-2.121369730217381E+00;1.453223137860511E+02;
1.024000000000000E+09;-2.166065386965114E+00;1.447237269622577E+02;
1.025000000000000E+09;-2.218176261587061E+00;1.440774562282847E+02;
1.026000000000000E+09;-2.266902186839664E+00;1.434395037187003E+02;
1.027000000000000E+09;-2.310837649741571E+00;1.428410130423689E+02;
1.028000000000000E+09;-2.364608521273861E+00;1.421834430466812E+02;
1.029000000000000E+09;-2.411193440027518E+00;1.415931595430486E+02;
1.030000000000000E+09;-2.463167221230421E+00;1.409355589784422E+02;
1.031000000000000E+09;-2.515905523339463E+00;1.402988956489210E+02;
1.032000000000000E+09;-2.568781979658397E+00;1.396475143226996E+02;
1.033000000000000E+09;-2.615901946989115E+00;1.390207526746261E+02;
1.034000000000000E+09;-2.663745668351166E+00;1.384041625031506E+02;
