# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.311482094786910E+00;1.576657399323529E+02;
1.001000000000000E+09;-1.337530251968853E+00;1.572083437011118E+02;
1.002000000000000E+09;-1.361744181412859E+00;1.567287063781650E+02;
1.003000000000000E+09;-1.388211348922942E+00;1.562664015850272E+02;
1.004000000000000E+09;-1.416392311626696E+00;1.557810012850479E+02;
1.005000000000000E+09;-1.443725453487746E+00;1.553226468315574E+02;
1.006000000000000E+09;-1.474333519578153E+00;1.548175222799378E+02;
1.007000000000000E+09;-1.510763374145946E+00;1.543173344191034E+02;
1.008000000000000E+09;-1.541353194504776E+00;1.538071255164355E+02;
1.009000000000000E+09;-1.573368329379661E+00;1.533089111235454E+02;
1.010000000000000E+09;-1.606923243292244E+00;1.527708045566901E+02;
1.011000000000000E+09;-1.649191192112534E+00;1.522207539086766E+02;
1.012000000000000E+09;-1.682861056222473E+00;1.516888234449685E+02;
1.013000000000000E+09;-1.719406495628506E+00;1.511425936566038E+02;
1.014000000000000E+09;-1.758401245408213E+00;1.505506907266490E+02;
1.015000000000000E+09;-1.800347419069753E+00;1.499919475663667E+02;
1.016000000000000E+09;-1.842932521378069E+00;1.494103176794794E+02;
1.017000000000000E+09;-1.883866287112831E+00;1.487916161832118E+02;
1.018000000000000E+09;-1.929880677891131E+00;1.481627304644302E+02;
1.019000000000000E+09;-1.978354309850438E+00;1.475511254984717E+02;
1.020000000000000E+09;-2.024581880670130E+00;1.469413093200915E+02;
1.021000000000000E+09;-2.072440016514730E+00;1.462933363761174E+02;
1.022000000000000E+09;-2.121466155338135E+00;1.456715590942742E+02;
1.023000000000000E+09;-2.174828787736027E+00;1.450207346962004E+02;
1.024000000000000E+09;-2.226953880024384E+00;1.443682179075537E+02;
1.025000000000000E+09;-2.280152419352805E+00;1.437177174878948E+02;
1.026000000000000E+09;-2.334266881111374E+00;1.430602525472427E+02;
1.027000000000000E+09;-2.385042219337984E+00;1.424244161606214E+02;
1.028000000000000E+09;-2.441995055335236E+00;1.417293254695136E+02;
1.029000000000000E+09;-2.496115575405449E+00;1.410841432787498E+02;
1.030000000000000E+09;-2.550703406651080E+00;1.404211829968955E+02;
1.031000000000000E+09;-2.611086861641410E+00;1.397406345701635E+02;
1.032000000000000E+09;-2.663205860402185E+00;1.390675131953636E+02;
1.033000000000000E+09;-2.721788203332152E+00;1.384021186256936E+02;
1.034000000000000E+09;-2.774859584103141E+00;1.377578873788894E+02;
1.035000000000000E+09;-2.832317332924170E+00;1.370892906844873E+02;
1.036000000000000E+09;-2.885439363035763E+00;1.364338101865332E+02;
1.037000000000000E+09;-2.943308448227961E+00;1.357703726765601E+02;
1.038000000000000E+09;-2.991627587256676E+00;1.351384745169380E+02;
1.039000000000000E+09;-3.051428813862183E+00;1.344801429922126E+02;
1.040000000000000E+09;-3.099741461760404E+00;1.338251801465206E+02;
1.041000000000000E+09;-3.154563051102319E+00;1.332155340691369E+02;
1.042000000000000E+09;-3.207468657461081E+00;1.325679410767284E+02;
1.043000000000000E+09;-3.259516971349894E+00;1.319006743273935E+02;
1.044000000000000E+09;-3.312254952120999E+00;1.312669030187460E+02;
1.045000000000000E+09;-3.365134406446340E+00;1.306881321731306E+02;
1.046000000000000E+09;-3.410538980398652E+00;1.300770516736462E+02;
1.047000000000000E+09;-3.462914168689130E+00;1.294283745269679E+02;
1.048000000000000E+09;-3.510570231815992E+00;1.288268758740015E+02;
1.049000000000000E+09;-3.555102792289651E+00;1.282180122200711E+02;
1.050000000000000E+09;-3.606620411557295E+00;1.276078310174154E+02;
1.051000000000000E+09;-3.653780000497480E+00;1.270273931059922E+02;
