# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.362762460209358E+00;1.576547182265229E+02;
1.001000000000000E+09;-1.387599661216446E+00;1.572229300250113E+02;
1.002000000000000E+09;-1.414588093478020E+00;1.567616119523696E+02;
1.003000000000000E+09;-1.443087046410468E+00;1.563155610039500E+02;
1.004000000000000E+09;-1.468318800313370E+00;1.558434943302069E+02;
1.005000000000000E+09;-1.497415269556560E+00;1.553977092807959E+02;
1.006000000000000E+09;-1.525674510093434E+00;1.548904249862131E+02;
1.007000000000000E+09;-1.559397284563798E+00;1.544029608975346E+02;
1.008000000000000E+09;-1.593098939175076E+00;1.539239084873022E+02;
1.009000000000000E+09;-1.627070328240077E+00;1.534169513930050E+02;
1.010000000000000E+09;-1.660102052155602E+00;1.528843238949816E+02;
1.011000000000000E+09;-1.699710113672656E+00;1.523345096538862E+02;
1.012000000000000E+09;-1.733967481324705E+00;1.518019862875433E+02;
1.013000000000000E+09;-1.774143452706205E+00;1.512648308290912E+02;
1.014000000000000E+09;-1.814846423101717E+00;1.506741189757859E+02;
1.015000000000000E+09;-1.855400304070024E+00;1.501115765729369E+02;
1.016000000000000E+09;-1.900152531704416E+00;1.495278795174349E+02;
1.017000000000000E+09;-1.943184705435949E+00;1.489161235273689E+02;
1.018000000000000E+09;-1.990333495526979E+00;1.483054062831442E+02;
1.019000000000000E+09;-2.039102853488911E+00;1.476961356648724E+02;
1.020000000000000E+09;-2.086357484728897E+00;1.470800200977352E+02;
1.021000000000000E+09;-2.136636714870572E+00;1.464356829814614E+02;
1.022000000000000E+09;-2.188131400268554E+00;1.457943720700576E+02;
1.023000000000000E+09;-2.243178551359729E+00;1.451681897684213E+02;
1.024000000000000E+09;-2.294117727504180E+00;1.445283912038599E+02;
1.025000000000000E+09;-2.351842285221034E+00;1.438501594148274E+02;
1.026000000000000E+09;-2.405436217926439E+00;1.431974724653723E+02;
1.027000000000000E+09;-2.458396590001218E+00;1.425567164858962E+02;
1.028000000000000E+09;-2.518978246612451E+00;1.418563216592288E+02;
1.029000000000000E+09;-2.570349690537030E+00;1.412133691582251E+02;
1.030000000000000E+09;-2.634738294024453E+00;1.405386546971230E+02;
1.031000000000000E+09;-2.687734577765168E+00;1.398735542935071E+02;
1.032000000000000E+09;-2.745998194542328E+00;1.391947703797649E+02;
1.033000000000000E+09;-2.804505516290394E+00;1.385201153911628E+02;
1.034000000000000E+09;-2.864831281752718E+00;1.378442443633257E+02;
1.035000000000000E+09;-2.923030980072330E+00;1.371843578777105E+02;
1.036000000000000E+09;-2.978453158982752E+00;1.365190069403142E+02;
1.037000000000000E+09;-3.038704639408448E+00;1.358441945951567E+02;
1.038000000000000E+09;-3.093903136000331E+00;1.352285762267029E+02;
1.039000000000000E+09;-3.149264553761942E+00;1.345603991817128E+02;
1.040000000000000E+09;-3.203951418354249E+00;1.339072015989056E+02;
1.041000000000000E+09;-3.263516574852545E+00;1.332826926606889E+02;
1.042000000000000E+09;-3.320172195136170E+00;1.326448460749831E+02;
1.043000000000000E+09;-3.376377400624852E+00;1.319897360599279E+02;
1.044000000000000E+09;-3.427355386938113E+00;1.313200903004102E+02;
1.045000000000000E+09;-3.485300990900711E+00;1.307471176049038E+02;
1.046000000000000E+09;-3.532832608053911E+00;1.301320401031645E+02;
1.047000000000000E+09;-3.588481151363634E+00;1.295270753012794E+02;
1.048000000000000E+09;-3.640088495001084E+00;1.289141024077469E+02;
1.049000000000000E+09;-3.692410877106314E+00;1.283418703252878E+02;
1.050000000000000E+09;-3.742947232343428E+00;1.277474212748551E+02;
1.051000000000000E+09;-3.792383492693940E+00;1.271595534599322E+02;
1.052000000000000E+09;-3.844941671439710E+00;1.265921703320467E+02;
1.053000000000000E+09;-3.891894851231980E+00;1.260165592709325E+02;
1.054000000000000E+09;-3.944577140345297E+00;1.254540244694254E+02;
1.055000000000000E+09;-3.984896683441471E+00;1.248759448588461E+02;
1.056000000000000E+09;-4.038041527015219E+00;1.243528047454132E+02;
1.057000000000000E+09;-4.086845426161965E+00;1.238024558717299E+02;
1.058000000000000E+09;-4.137390832756147E+00;1.232303067417014E+02;
1.059000000000000E+09;-4.190729777368186E+00;1.226959856786209E+02;
1.060000000000000E+09;-4.240482894855041E+00;1.221571723962697E+02;
1.061000000000000E+09;-4.297508147816857E+00;1.216197613393249E+02;
1.062000000000000E+09;-4.350870763865485E+00;1.210497170613391E+02;
1.063000000000000E+09;-4.408109162543948E+00;1.205614743442758E+02;
1.064000000000000E+09;-4.461771610713200E+00;1.200553871094477E+02;
1.065000000000000E+09;-4.527200936261479E+00;1.195435046924977E+02;
1.066000000000000E+09;-4.591622978365795E+00;1.189952841834907E+02;
1.067000000000000E+09;-4.652980074914328E+00;1.185057796046484E+02;
1.068000000000000E+09;-4.724277124965715E+00;1.180288060716785E+02;
1.069000000000000E+09;-4.790496717988201E+00;1.174919462024008E+02;
1.070000000000000E+09;-4.866183364292504E+00;1.169744782667380E+02;
1.071000000000000E+09;-4.941627110069374E+00;1.164943923806097E+02;
1.072000000000000E+09;-5.023965548469099E+00;1.159888597180799E+02;
1.073000000000000E+09;-5.105867084870118E+00;1.154600219598303E+02;
1.074000000000000E+09;-5.198403263027734E+00;1.149557332150762E+02;
1.075000000000000E+09;-5.291714978674534E+00;1.144720600330373E+02;
1.076000000000000E+09;-5.392115753446578E+00;1.139667638975868E+02;
1.077000000000000E+09;-5.498813860126716E+00;1.134298857952696E+02;
1.078000000000000E+09;-5.606423837667008E+00;1.129727020096154E+02;
1.079000000000000E+09;-5.719897350963523E+00;1.124744605531400E+02;
1.080000000000000E+09;-5.849103943323287E+00;1.120033401826303E+02;
1.081000000000000E+09;-5.982037199645324E+00;1.114684990098566E+02;
1.082000000000000E+09;-6.121112391213592E+00;1.110222825050722E+02;
1.083000000000000E+09;-6.264438725024181E+00;1.105421365603073E+02;
1.084000000000000E+09;-6.417589587148952E+00;1.100346314784527E+02;
1.085000000000000E+09;-6.587041252958382E+00;1.095837966718147E+02;
1.086000000000000E+09;-6.765428671676247E+00;1.091504361965041E+02;
1.087000000000000E+09;-6.950354900967368E+00;1.087204261587451E+02;
1.088000000000000E+09;-7.143758794749972E+00;1.082965873141019E+02;
1.089000000000000E+09;-7.351545184044074E+00;1.079536408697888E+02;
1.090000000000000E+09;-7.570144748215007E+00;1.076219338276217E+02;
1.091000000000000E+09;-7.798930795100319E+00;1.073173675860227E+02;
1.092000000000000E+09;-8.041828743465484E+00;1.070273829981600E+02;
1.093000000000000E+09;-8.290946032802150E+00;1.068216871110075E+02;
1.094000000000000E+09;-8.563227488232052E+00;1.066244366314038E+02;
1.095000000000000E+09;-8.846430517729138E+00;1.065147596807972E+02;
1.096000000000000E+09;-9.145565309993394E+00;1.064392186683761E+02;
1.097000000000000E+09;-9.452620794911619E+00;1.065195451536566E+02;
