# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.326192268835608E+00;1.576937179331905E+02;
1.001000000000000E+09;-1.351151197792109E+00;1.572442055147571E+02;
1.002000000000000E+09;-1.379821383750135E+00;1.568045421969649E+02;
1.003000000000000E+09;-1.403553603490720E+00;1.563155506695530E+02;
1.004000000000000E+09;-1.433575553018724E+00;1.558415809317863E+02;
1.005000000000000E+09;-1.459442754428281E+00;1.553953165654950E+02;
1.006000000000000E+09;-1.490169145565796E+00;1.549068429869569E+02;
1.007000000000000E+09;-1.521465169021024E+00;1.544028768601218E+02;
1.008000000000000E+09;-1.558025192248057E+00;1.539165318541384E+02;
1.009000000000000E+09;-1.590047788230454E+00;1.534163305491407E+02;
1.010000000000000E+09;-1.621894957443961E+00;1.528802793151372E+02;
1.011000000000000E+09;-1.663457913254194E+00;1.523409879986631E+02;
1.012000000000000E+09;-1.700133560500377E+00;1.517931720022136E+02;
1.013000000000000E+09;-1.734309410854298E+00;1.512564923845184E+02;
1.014000000000000E+09;-1.777849131004425E+00;1.506800013031604E+02;
1.015000000000000E+09;-1.820197303192994E+00;1.501298235599062E+02;
1.016000000000000E+09;-1.861308084697911E+00;1.495459754270855E+02;
1.017000000000000E+09;-1.903321462301182E+00;1.489431932905813E+02;
1.018000000000000E+09;-1.950719992738856E+00;1.483417552167585E+02;
1.019000000000000E+09;-1.996781808496403E+00;1.477396706548987E+02;
1.020000000000000E+09;-2.043191379973816E+00;1.471270602426630E+02;
1.021000000000000E+09;-2.090496688175322E+00;1.464982053568793E+02;
1.022000000000000E+09;-2.138795836594117E+00;1.458650753106601E+02;
1.023000000000000E+09;-2.192147214604115E+00;1.452263344140434E+02;
1.024000000000000E+09;-2.242604415876427E+00;1.445975144131357E+02;
1.025000000000000E+09;-2.295484200360484E+00;1.439256328363226E+02;
1.026000000000000E+09;-2.351969951677761E+00;1.432716658179228E+02;
1.027000000000000E+09;-2.402877785650008E+00;1.426527183474728E+02;
1.028000000000000E+09;-2.456326022045574E+00;1.419425498548494E+02;
1.029000000000000E+09;-2.512894337033884E+00;1.413070671192615E+02;
1.030000000000000E+09;-2.565325991299087E+00;1.406317391950943E+02;
1.031000000000000E+09;-2.625634388660505E+00;1.399487472999107E+02;
1.032000000000000E+09;-2.682070059666693E+00;1.392878779965230E+02;
1.033000000000000E+09;-2.734721684734826E+00;1.386277059702553E+02;
1.034000000000000E+09;-2.792002955808518E+00;1.379725692265062E+02;
1.035000000000000E+09;-2.849414155995520E+00;1.373410245187512E+02;
1.036000000000000E+09;-2.904585397702184E+00;1.366563750606877E+02;
1.037000000000000E+09;-2.961430958889122E+00;1.359825323184373E+02;
1.038000000000000E+09;-3.015606838193590E+00;1.353655862760034E+02;
1.039000000000000E+09;-3.066339129328484E+00;1.347320024010319E+02;
1.040000000000000E+09;-3.119045334443515E+00;1.340745066176432E+02;
1.041000000000000E+09;-3.171859567177898E+00;1.334569837502126E+02;
1.042000000000000E+09;-3.227252849696849E+00;1.328282822302840E+02;
1.043000000000000E+09;-3.279864078996242E+00;1.321853073096246E+02;
1.044000000000000E+09;-3.328170660152105E+00;1.315457077348950E+02;
1.045000000000000E+09;-3.380565969537670E+00;1.309617755348278E+02;
1.046000000000000E+09;-3.425106973461681E+00;1.303500948008747E+02;
1.047000000000000E+09;-3.478072657436033E+00;1.297357186123214E+02;
1.048000000000000E+09;-3.526999704485292E+00;1.291358429762072E+02;
1.049000000000000E+09;-3.574062539899435E+00;1.285545131420675E+02;
1.050000000000000E+09;-3.624495902698498E+00;1.279480723415947E+02;
1.051000000000000E+09;-3.670796466571141E+00;1.274057332545893E+02;
1.052000000000000E+09;-3.719551203496025E+00;1.268368826274302E+02;
1.053000000000000E+09;-3.766832186770477E+00;1.262739451286934E+02;
1.054000000000000E+09;-3.814678804017821E+00;1.256666568268173E+02;
1.055000000000000E+09;-3.853197642393677E+00;1.251315065751616E+02;
1.056000000000000E+09;-3.905240025378958E+00;1.246152614224160E+02;
1.057000000000000E+09;-3.950666242026391E+00;1.240544443925269E+02;
1.058000000000000E+09;-3.998853764703172E+00;1.235033532049616E+02;
1.059000000000000E+09;-4.050997215786448E+00;1.229762370699984E+02;
1.060000000000000E+09;-4.098105663729772E+00;1.224242168035902E+02;
1.061000000000000E+09;-4.152230114712322E+00;1.218960375069742E+02;
1.062000000000000E+09;-4.206270027838017E+00;1.213325933784519E+02;
1.063000000000000E+09;-4.260162723894434E+00;1.208460709694068E+02;
1.064000000000000E+09;-4.312460461097653E+00;1.203456707325824E+02;
1.065000000000000E+09;-4.373081814680244E+00;1.198180105846429E+02;
1.066000000000000E+09;-4.432055253571010E+00;1.192959594096053E+02;
1.067000000000000E+09;-4.492773063411347E+00;1.187700107564782E+02;
1.068000000000000E+09;-4.558974267247483E+00;1.182918462807001E+02;
1.069000000000000E+09;-4.626228175411084E+00;1.177593352804724E+02;
1.070000000000000E+09;-4.696668009272817E+00;1.172351142379349E+02;
1.071000000000000E+09;-4.772407785357641E+00;1.167473052895899E+02;
1.072000000000000E+09;-4.849219269379179E+00;1.162174854355620E+02;
1.073000000000000E+09;-4.933209334196407E+00;1.156715679217348E+02;
1.074000000000000E+09;-5.021868655938192E+00;1.151693142093701E+02;
1.075000000000000E+09;-5.115380163975765E+00;1.146654266839582E+02;
1.076000000000000E+09;-5.214679387178615E+00;1.141734236068462E+02;
1.077000000000000E+09;-5.322960128812983E+00;1.136061136513742E+02;
1.078000000000000E+09;-5.428490095445984E+00;1.131543010847405E+02;
