# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.314098091890454E+00;1.577807862133170E+02;
1.001000000000000E+09;-1.338963322286256E+00;1.573061901928796E+02;
1.002000000000000E+09;-1.362764116325077E+00;1.568753963435209E+02;
1.003000000000000E+09;-1.391775799030074E+00;1.563960232517935E+02;
1.004000000000000E+09;-1.415701109040254E+00;1.559226990159561E+02;
1.005000000000000E+09;-1.446774941017590E+00;1.554622611495899E+02;
1.006000000000000E+09;-1.474529956366766E+00;1.549614479902736E+02;
1.007000000000000E+09;-1.507111075180312E+00;1.544710856788252E+02;
1.008000000000000E+09;-1.537816937122919E+00;1.539886231046723E+02;
1.009000000000000E+09;-1.573291072815455E+00;1.534654345594351E+02;
1.010000000000000E+09;-1.605154101949378E+00;1.529511022052044E+02;
1.011000000000000E+09;-1.644423590572768E+00;1.523974799344535E+02;
1.012000000000000E+09;-1.680162855496409E+00;1.518670556514563E+02;
1.013000000000000E+09;-1.716940155040463E+00;1.513238705881145E+02;
1.014000000000000E+09;-1.754300203054378E+00;1.507421801732103E+02;
1.015000000000000E+09;-1.794972580629630E+00;1.501748545041070E+02;
1.016000000000000E+09;-1.837473856601725E+00;1.496015465626720E+02;
1.017000000000000E+09;-1.876602555384386E+00;1.489884547369749E+02;
1.018000000000000E+09;-1.922512271485223E+00;1.483880181938887E+02;
1.019000000000000E+09;-1.967577319680214E+00;1.477733920780343E+02;
1.020000000000000E+09;-2.012748093458883E+00;1.471583044421509E+02;
1.021000000000000E+09;-2.060112028291138E+00;1.465012145031063E+02;
1.022000000000000E+09;-2.108444101573345E+00;1.458689700915682E+02;
1.023000000000000E+09;-2.160711522899627E+00;1.452207256379899E+02;
1.024000000000000E+09;-2.208816454433637E+00;1.445786907560739E+02;
1.025000000000000E+09;-2.265028836524070E+00;1.439330196887366E+02;
1.026000000000000E+09;-2.317651951011395E+00;1.432445504861102E+02;
1.027000000000000E+09;-2.368183306386309E+00;1.426062792462592E+02;
1.028000000000000E+09;-2.421376414451083E+00;1.419339051989457E+02;
1.029000000000000E+09;-2.474952251714171E+00;1.412834942653856E+02;
1.030000000000000E+09;-2.533745914097710E+00;1.405958828483064E+02;
1.031000000000000E+09;-2.588193759549911E+00;1.399324323564564E+02;
1.032000000000000E+09;-2.643661823420515E+00;1.392430666264036E+02;
1.033000000000000E+09;-2.695561092170773E+00;1.385870816011835E+02;
1.034000000000000E+09;-2.753694784623215E+00;1.379279499919902E+02;
1.035000000000000E+09;-2.806819264423710E+00;1.372797547945730E+02;
1.036000000000000E+09;-2.861466414464240E+00;1.366092198443502E+02;
1.037000000000000E+09;-2.915602685304270E+00;1.359309085221257E+02;
1.038000000000000E+09;-2.965709705582443E+00;1.352899047982282E+02;
1.039000000000000E+09;-3.024129003405286E+00;1.346509953994752E+02;
1.040000000000000E+09;-3.076438038324170E+00;1.339828260078330E+02;
1.041000000000000E+09;-3.127522555180413E+00;1.333614442721064E+02;
1.042000000000000E+09;-3.177763232760413E+00;1.327272044534050E+02;
1.043000000000000E+09;-3.231823204980111E+00;1.320633314173508E+02;
1.044000000000000E+09;-3.279438927767897E+00;1.314129872606470E+02;
1.045000000000000E+09;-3.333546056514396E+00;1.308579195978897E+02;
1.046000000000000E+09;-3.377891550359139E+00;1.302633018919830E+02;
1.047000000000000E+09;-3.428498409213679E+00;1.296199728604719E+02;
1.048000000000000E+09;-3.478962416680075E+00;1.290212340609850E+02;
1.049000000000000E+09;-3.522162154901798E+00;1.284403074651265E+02;
1.050000000000000E+09;-3.572473102841102E+00;1.278398413246746E+02;
1.051000000000000E+09;-3.624205975136003E+00;1.272448242488841E+02;
1.052000000000000E+09;-3.666575019195046E+00;1.266921096938948E+02;
1.053000000000000E+09;-3.716241188475753E+00;1.261150548879586E+02;
1.054000000000000E+09;-3.763831019923646E+00;1.255232849859035E+02;
1.055000000000000E+09;-3.802737235198487E+00;1.249684889315167E+02;
1.056000000000000E+09;-3.851819581258527E+00;1.244455706168715E+02;
1.057000000000000E+09;-3.901287690634454E+00;1.239049789501404E+02;
1.058000000000000E+09;-3.947581548290602E+00;1.233384344537033E+02;
1.059000000000000E+09;-3.997195098585901E+00;1.228062575719979E+02;
1.060000000000000E+09;-4.045645157414513E+00;1.222526709740374E+02;
1.061000000000000E+09;-4.093656680831544E+00;1.217210126390885E+02;
1.062000000000000E+09;-4.145965454631378E+00;1.211497295490717E+02;
1.063000000000000E+09;-4.199572783483910E+00;1.206569880713426E+02;
1.064000000000000E+09;-4.253253036226184E+00;1.201304799528444E+02;
1.065000000000000E+09;-4.313608811734933E+00;1.195831028064724E+02;
1.066000000000000E+09;-4.373327355333442E+00;1.190484527981697E+02;
1.067000000000000E+09;-4.432231943982482E+00;1.185263020572664E+02;
1.068000000000000E+09;-4.501092791095711E+00;1.180237646252691E+02;
1.069000000000000E+09;-4.567107402256358E+00;1.174572950133482E+02;
1.070000000000000E+09;-4.638463613606510E+00;1.169172766332584E+02;
1.071000000000000E+09;-4.715308832551917E+00;1.164358690838359E+02;
1.072000000000000E+09;-4.797087845327670E+00;1.158981303903878E+02;
1.073000000000000E+09;-4.881256232972929E+00;1.153490446396989E+02;
1.074000000000000E+09;-4.970147850683126E+00;1.148568366557176E+02;
1.075000000000000E+09;-5.062416867374825E+00;1.143360394560779E+02;
1.076000000000000E+09;-5.158235048810546E+00;1.138022323301133E+02;
1.077000000000000E+09;-5.262979266575206E+00;1.132461572292166E+02;
1.078000000000000E+09;-5.375111393739380E+00;1.127299855418848E+02;
1.079000000000000E+09;-5.487297857067236E+00;1.122340943436262E+02;
1.080000000000000E+09;-5.615313722556296E+00;1.116857267422388E+02;
1.081000000000000E+09;-5.748912376281813E+00;1.111599064864016E+02;
1.082000000000000E+09;-5.887491077416053E+00;1.106891179762165E+02;
1.083000000000000E+09;-6.037832370451471E+00;1.101732772191852E+02;
1.084000000000000E+09;-6.196822611958643E+00;1.096614361544019E+02;
1.085000000000000E+09;-6.358823557393175E+00;1.091943542591233E+02;
1.086000000000000E+09;-6.534687787459003E+00;1.087594125606831E+02;
1.087000000000000E+09;-6.726311425892362E+00;1.082981999297239E+02;
1.088000000000000E+09;-6.926366065654205E+00;1.079024930322207E+02;
1.089000000000000E+09;-7.125497870029039E+00;1.075230223339136E+02;
1.090000000000000E+09;-7.346307620424560E+00;1.071426652793647E+02;
1.091000000000000E+09;-7.573278588817820E+00;1.068168887231183E+02;
1.092000000000000E+09;-7.807860780508812E+00;1.065501322065042E+02;
1.093000000000000E+09;-8.056767389728529E+00;1.063192887387191E+02;
1.094000000000000E+09;-8.321874309940100E+00;1.060756551480498E+02;
1.095000000000000E+09;-8.596717257131100E+00;1.058585313686428E+02;
1.096000000000000E+09;-8.891527424937344E+00;1.057731506540087E+02;
1.097000000000000E+09;-9.194641092909366E+00;1.057271591013614E+02;
1.098000000000000E+09;-9.513095122063431E+00;1.057525512216463E+02;
1.099000000000000E+09;-9.854880775724817E+00;1.059068930142694E+02;
1.100000000000000E+09;-1.020802441344827E+01;1.061289789444857E+02;
1.101000000000000E+09;-1.057783171991541E+01;1.064816725741216E+02;
1.102000000000000E+09;-1.096844299746978E+01;1.069846193960472E+02;
1.103000000000000E+09;-1.137796005159595E+01;1.077142709384654E+02;
1.104000000000000E+09;-1.179949262133347E+01;1.086409963139494E+02;
1.105000000000000E+09;-1.223008575394132E+01;1.097851827665790E+02;
1.106000000000000E+09;-1.267582086510334E+01;1.112153302743591E+02;
1.107000000000000E+09;-1.311843469601051E+01;1.130493597610302E+02;
1.108000000000000E+09;-1.356664278004820E+01;1.151682063022163E+02;
1.109000000000000E+09;-1.399345628135398E+01;1.176412037474962E+02;
1.110000000000000E+09;-1.440919926428058E+01;1.205476875787413E+02;
1.111000000000000E+09;-1.476955981867201E+01;1.239982036546967E+02;
1.112000000000000E+09;-1.507462317420989E+01;1.277275695534971E+02;
1.113000000000000E+09;-1.533003609886775E+01;1.316560026825252E+02;
1.114000000000000E+09;-1.549949903212168E+01;1.359099123276455E+02;
1.115000000000000E+09;-1.558312954726155E+01;1.403698692718840E+02;
1.116000000000000E+09;-1.559143084271900E+01;1.447547719073991E+02;
1.117000000000000E+09;-1.551476340182884E+01;1.490948233863791E+02;
1.118000000000000E+09;-1.534350410169371E+01;1.532518478925695E+02;
1.119000000000000E+09;-1.510319171733518E+01;1.572130996607742E+02;
1.120000000000000E+09;-1.479244720277531E+01;1.606557537583591E+02;
1.121000000000000E+09;-1.444013896436596E+01;1.637944629306874E+02;
1.122000000000000E+09;-1.404975930412485E+01;1.665299364971203E+02;
1.123000000000000E+09;-1.363454764215240E+01;1.687747903131846E+02;
1.124000000000000E+09;-1.321607035792196E+01;1.706770036416419E+02;
1.125000000000000E+09;-1.280237182095632E+01;1.722745836324538E+02;
1.126000000000000E+09;-1.237908593498361E+01;1.735232165840482E+02;
1.127000000000000E+09;-1.196969683319248E+01;1.745141423773345E+02;
1.128000000000000E+09;-1.155930876647736E+01;1.752809458198065E+02;
1.129000000000000E+09;-1.115876698967767E+01;1.758336062535365E+02;
1.130000000000000E+09;-1.076554670961811E+01;1.761514910578224E+02;
1.131000000000000E+09;-1.039549668639293E+01;1.762613727489168E+02;
1.132000000000000E+09;-1.003767306118435E+01;1.762505302028150E+02;
1.133000000000000E+09;-9.693206269507721E+00;1.760551366237079E+02;
1.134000000000000E+09;-9.358657189192872E+00;1.758082738342726E+02;
1.135000000000000E+09;-9.049345764101956E+00;1.754733091462206E+02;
1.136000000000000E+09;-8.743704012118506E+00;1.750350188283709E+02;
1.137000000000000E+09;-8.447441637174428E+00;1.745343923457568E+02;
1.138000000000000E+09;-8.164024482403089E+00;1.739775809037443E+02;
1.139000000000000E+09;-7.898078350421544E+00;1.733683924129151E+02;
1.140000000000000E+09;-7.632308571606281E+00;1.727226862507009E+02;
1.141000000000000E+09;-7.376977517650274E+00;1.720109662649200E+02;
1.142000000000000E+09;-7.139332022787123E+00;1.712605967410556E+02;
1.143000000000000E+09;-6.903815189274304E+00;1.704844043360402E+02;
1.144000000000000E+09;-6.676680445601784E+00;1.696944714457119E+02;
1.145000000000000E+09;-6.459196378526252E+00;1.688886108249393E+02;
1.146000000000000E+09;-6.260221619532743E+00;1.680059013567556E+02;
1.147000000000000E+09;-6.061972312478381E+00;1.671937005910762E+02;
1.148000000000000E+09;-5.865728455564868E+00;1.663687376038449E+02;
1.149000000000000E+09;-5.685460080034020E+00;1.655586297007166E+02;
1.150000000000000E+09;-5.504014111777139E+00;1.646773469005742E+02;
1.151000000000000E+09;-5.330621017003841E+00;1.638458139377463E+02;
1.152000000000000E+09;-5.162578752774300E+00;1.629789260809850E+02;
1.153000000000000E+09;-5.006317778242403E+00;1.621506596605162E+02;
1.154000000000000E+09;-4.852216798441771E+00;1.612701880066847E+02;
1.155000000000000E+09;-4.702844608323360E+00;1.604677441170398E+02;
1.156000000000000E+09;-4.559864132396615E+00;1.596318592370478E+02;
1.157000000000000E+09;-4.425943533915023E+00;1.588068794937662E+02;
1.158000000000000E+09;-4.295267801634385E+00;1.580256137745027E+02;
1.159000000000000E+09;-4.163256844587261E+00;1.572572774930470E+02;
1.160000000000000E+09;-4.044637096346889E+00;1.564948140484872E+02;
1.161000000000000E+09;-3.924114271376464E+00;1.557077506712387E+02;
1.162000000000000E+09;-3.807692625019821E+00;1.549646057194419E+02;
1.163000000000000E+09;-3.695158758320598E+00;1.542412376315202E+02;
1.164000000000000E+09;-3.590224951094313E+00;1.534978002624312E+02;
1.165000000000000E+09;-3.489096541176898E+00;1.527523614882154E+02;
1.166000000000000E+09;-3.393504822848849E+00;1.520710300307911E+02;
1.167000000000000E+09;-3.299021885605324E+00;1.513545796134511E+02;
1.168000000000000E+09;-3.211811782361631E+00;1.506792444050899E+02;
1.169000000000000E+09;-3.126198452867387E+00;1.500127031049104E+02;
1.170000000000000E+09;-3.046506675802425E+00;1.493684666639496E+02;
1.171000000000000E+09;-2.966605707698366E+00;1.487181074285161E+02;
1.172000000000000E+09;-2.891427680108108E+00;1.480944372462259E+02;
1.173000000000000E+09;-2.821221725307090E+00;1.474686737442827E+02;
1.174000000000000E+09;-2.750565014343016E+00;1.468766145577654E+02;
1.175000000000000E+09;-2.684296786835362E+00;1.462792058056395E+02;
1.176000000000000E+09;-2.621181131770828E+00;1.456898006134684E+02;
1.177000000000000E+09;-2.560581084651501E+00;1.451170127164092E+02;
1.178000000000000E+09;-2.501697599037631E+00;1.445202560104509E+02;
1.179000000000000E+09;-2.447555918504877E+00;1.439333357709328E+02;
1.180000000000000E+09;-2.395522254522645E+00;1.433850947663701E+02;
1.181000000000000E+09;-2.347518933888398E+00;1.428453763216186E+02;
1.182000000000000E+09;-2.305773514511706E+00;1.422808660630137E+02;
1.183000000000000E+09;-2.262854297543430E+00;1.417178063771027E+02;
1.184000000000000E+09;-2.220323449906411E+00;1.411743827732110E+02;
1.185000000000000E+09;-2.183931888122417E+00;1.406318535754219E+02;
1.186000000000000E+09;-2.150411530347172E+00;1.400953965615421E+02;
1.187000000000000E+09;-2.117366138308471E+00;1.395654434421291E+02;
1.188000000000000E+09;-2.089889776471009E+00;1.390436814585840E+02;
1.189000000000000E+09;-2.057323033537613E+00;1.385159286010749E+02;
1.190000000000000E+09;-2.035829113394627E+00;1.379960340091275E+02;
1.191000000000000E+09;-2.010124718950883E+00;1.374870495796050E+02;
1.192000000000000E+09;-1.989286974287905E+00;1.369860481450573E+02;
1.193000000000000E+09;-1.967724861740755E+00;1.364662500091330E+02;
1.194000000000000E+09;-1.948828416719736E+00;1.359067814443238E+02;
1.195000000000000E+09;-1.933307515420463E+00;1.354107447600435E+02;
1.196000000000000E+09;-1.917274057244604E+00;1.348677352814746E+02;
1.197000000000000E+09;-1.908900144557209E+00;1.343417839380778E+02;
1.198000000000000E+09;-1.893961316571905E+00;1.337978853716552E+02;
1.199000000000000E+09;-1.884144293132083E+00;1.332940010301081E+02;
1.200000000000000E+09;-1.874896321297017E+00;1.327552527280388E+02;
1.201000000000000E+09;-1.868067959864037E+00;1.322020473526043E+02;
1.202000000000000E+09;-1.860524682412916E+00;1.316658914134329E+02;
1.203000000000000E+09;-1.858557278977524E+00;1.311255224821496E+02;
1.204000000000000E+09;-1.853945057288569E+00;1.305792002853385E+02;
1.205000000000000E+09;-1.849154344857273E+00;1.300389063402771E+02;
1.206000000000000E+09;-1.848578752341961E+00;1.294852259527640E+02;
1.207000000000000E+09;-1.849841935023684E+00;1.289456084859213E+02;
1.208000000000000E+09;-1.848292223525373E+00;1.283645894160672E+02;
1.209000000000000E+09;-1.848911109075355E+00;1.278231986630903E+02;
1.210000000000000E+09;-1.848659519250427E+00;1.272588129801840E+02;
1.211000000000000E+09;-1.848274715054070E+00;1.267008745679020E+02;
1.212000000000000E+09;-1.846728123870833E+00;1.261310585724723E+02;
1.213000000000000E+09;-1.847944830619646E+00;1.255033094480755E+02;
1.214000000000000E+09;-1.848353887919493E+00;1.249429527821659E+02;
1.215000000000000E+09;-1.845457036859990E+00;1.243409072186471E+02;
1.216000000000000E+09;-1.849330110814198E+00;1.237292467649909E+02;
1.217000000000000E+09;-1.849767573384793E+00;1.231368838471923E+02;
1.218000000000000E+09;-1.851779623677554E+00;1.225212553823662E+02;
1.219000000000000E+09;-1.856600941967879E+00;1.219126967102442E+02;
1.220000000000000E+09;-1.853317253148932E+00;1.212844618697098E+02;
1.221000000000000E+09;-1.854668208164526E+00;1.206849065581450E+02;
1.222000000000000E+09;-1.861849581560195E+00;1.200874956461852E+02;
1.223000000000000E+09;-1.859295326053336E+00;1.194738123872650E+02;
1.224000000000000E+09;-1.859713767678954E+00;1.188369350338535E+02;
1.225000000000000E+09;-1.858249689788896E+00;1.182521326602692E+02;
1.226000000000000E+09;-1.857407734640441E+00;1.176264655406974E+02;
1.227000000000000E+09;-1.858859835310506E+00;1.170157340628566E+02;
1.228000000000000E+09;-1.857105477595476E+00;1.164051709649848E+02;
1.229000000000000E+09;-1.852541592089750E+00;1.158169007439655E+02;
1.230000000000000E+09;-1.855810499687929E+00;1.152295832384700E+02;
1.231000000000000E+09;-1.845875590726185E+00;1.146002476769506E+02;
1.232000000000000E+09;-1.840452145589133E+00;1.140255619503191E+02;
1.233000000000000E+09;-1.839009330159009E+00;1.134585259169515E+02;
1.234000000000000E+09;-1.830897766632982E+00;1.128478370387994E+02;
1.235000000000000E+09;-1.826162960887809E+00;1.123120228119110E+02;
1.236000000000000E+09;-1.816444797839891E+00;1.117580821388409E+02;
1.237000000000000E+09;-1.806049605909389E+00;1.111783742332150E+02;
1.238000000000000E+09;-1.802383119035908E+00;1.106638399829234E+02;
1.239000000000000E+09;-1.787248574259382E+00;1.101091883378938E+02;
1.240000000000000E+09;-1.774161498177050E+00;1.095705582034043E+02;
1.241000000000000E+09;-1.766391158256041E+00;1.090515098662055E+02;
1.242000000000000E+09;-1.748632434303854E+00;1.085541896252047E+02;
1.243000000000000E+09;-1.735037421638762E+00;1.080297538375436E+02;
1.244000000000000E+09;-1.717047112022769E+00;1.075415024473397E+02;
1.245000000000000E+09;-1.704548582352623E+00;1.070439497674711E+02;
1.246000000000000E+09;-1.686962816025825E+00;1.065423888777137E+02;
1.247000000000000E+09;-1.668216790307111E+00;1.060866516620334E+02;
1.248000000000000E+09;-1.651486814142657E+00;1.056061681954099E+02;
1.249000000000000E+09;-1.631835849218533E+00;1.051518257323223E+02;
1.250000000000000E+09;-1.612371299135849E+00;1.047009661967022E+02;
1.251000000000000E+09;-1.597223272958948E+00;1.042513311052280E+02;
1.252000000000000E+09;-1.578596667863905E+00;1.038382151704452E+02;
1.253000000000000E+09;-1.560211262897259E+00;1.034206608033303E+02;
1.254000000000000E+09;-1.540860584340096E+00;1.029815456387984E+02;
1.255000000000000E+09;-1.518943661035083E+00;1.025462359256331E+02;
1.256000000000000E+09;-1.500211127309747E+00;1.021350203678135E+02;
1.257000000000000E+09;-1.483867965662538E+00;1.017661076791784E+02;
1.258000000000000E+09;-1.465243448137029E+00;1.013680813194451E+02;
1.259000000000000E+09;-1.445904806353422E+00;1.009515297176153E+02;
1.260000000000000E+09;-1.426297891439711E+00;1.005525989729694E+02;
1.261000000000000E+09;-1.411805247403264E+00;1.001914878666449E+02;
1.262000000000000E+09;-1.396397984202447E+00;9.981600173303335E+01;
1.263000000000000E+09;-1.374458181220523E+00;9.944655982216052E+01;
1.264000000000000E+09;-1.360172420160639E+00;9.903203668236800E+01;
1.265000000000000E+09;-1.346303435337045E+00;9.867886594081283E+01;
1.266000000000000E+09;-1.330181412727775E+00;9.834580094920076E+01;
