# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.257485397808340E+00;1.582726640849060E+02;
1.001000000000000E+09;-1.278562372845756E+00;1.578029339047810E+02;
1.002000000000000E+09;-1.302858901422113E+00;1.573517252917986E+02;
1.003000000000000E+09;-1.329712156901968E+00;1.568831522457114E+02;
1.004000000000000E+09;-1.355175250281593E+00;1.563912916127827E+02;
1.005000000000000E+09;-1.381040456188237E+00;1.559116112836174E+02;
1.006000000000000E+09;-1.409409776470955E+00;1.554026391275716E+02;
1.007000000000000E+09;-1.441675221162329E+00;1.548968116279587E+02;
1.008000000000000E+09;-1.474150784646000E+00;1.543901173133901E+02;
1.009000000000000E+09;-1.504254986112218E+00;1.538982127086528E+02;
1.010000000000000E+09;-1.536182307418210E+00;1.533580168178574E+02;
1.011000000000000E+09;-1.576029470585486E+00;1.528121256396317E+02;
1.012000000000000E+09;-1.609857951832537E+00;1.522582461831279E+02;
1.013000000000000E+09;-1.645967005252177E+00;1.517221459852803E+02;
1.014000000000000E+09;-1.683952192152812E+00;1.511420452865219E+02;
1.015000000000000E+09;-1.725522072929617E+00;1.505804058117492E+02;
1.016000000000000E+09;-1.764464813211204E+00;1.500120699512170E+02;
1.017000000000000E+09;-1.805626931060627E+00;1.493981715269117E+02;
1.018000000000000E+09;-1.849967861720268E+00;1.487917541695870E+02;
1.019000000000000E+09;-1.895827098070826E+00;1.481901076390635E+02;
1.020000000000000E+09;-1.939150085003925E+00;1.475965770430557E+02;
1.021000000000000E+09;-1.981945247803960E+00;1.469583662491933E+02;
1.022000000000000E+09;-2.026167053065681E+00;1.463174756537291E+02;
1.023000000000000E+09;-2.077751271392958E+00;1.456969604837861E+02;
1.024000000000000E+09;-2.123894206573847E+00;1.450573513104466E+02;
1.025000000000000E+09;-2.177614771071646E+00;1.444095766402414E+02;
1.026000000000000E+09;-2.224953392418287E+00;1.437531455258290E+02;
1.027000000000000E+09;-2.271364591863931E+00;1.431128405033442E+02;
1.028000000000000E+09;-2.322737773551755E+00;1.424295982954895E+02;
1.029000000000000E+09;-2.371627341334350E+00;1.417974009367442E+02;
1.030000000000000E+09;-2.425850154046586E+00;1.411248002003564E+02;
1.031000000000000E+09;-2.477976154296146E+00;1.404512342736990E+02;
1.032000000000000E+09;-2.527573953798898E+00;1.397637205993637E+02;
1.033000000000000E+09;-2.575291569714668E+00;1.391047054284952E+02;
1.034000000000000E+09;-2.627121674857511E+00;1.384381279271330E+02;
1.035000000000000E+09;-2.674195929749099E+00;1.377862571202664E+02;
1.036000000000000E+09;-2.723481874735299E+00;1.370943661327664E+02;
1.037000000000000E+09;-2.780941817456577E+00;1.364356031211357E+02;
1.038000000000000E+09;-2.823150595645274E+00;1.357640199782359E+02;
1.039000000000000E+09;-2.870190032905703E+00;1.351064968243116E+02;
1.040000000000000E+09;-2.920499238882173E+00;1.344591946512626E+02;
1.041000000000000E+09;-2.972901269335228E+00;1.338005542097011E+02;
1.042000000000000E+09;-3.022896920133608E+00;1.331030589214240E+02;
1.043000000000000E+09;-3.073879262575800E+00;1.324550058490086E+02;
