# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.314431970964371E+00;1.579946665807933E+02;
1.001000000000000E+09;-1.338214850999913E+00;1.575424597267079E+02;
1.002000000000000E+09;-1.363162045521038E+00;1.570890481480048E+02;
1.003000000000000E+09;-1.387614004950969E+00;1.566383417138425E+02;
1.004000000000000E+09;-1.416031624529094E+00;1.561345938868001E+02;
1.005000000000000E+09;-1.446719645841587E+00;1.556936463548663E+02;
1.006000000000000E+09;-1.474429962825470E+00;1.551946445002436E+02;
1.007000000000000E+09;-1.507033373446738E+00;1.546989777669875E+02;
1.008000000000000E+09;-1.535428162325166E+00;1.542047275512059E+02;
1.009000000000000E+09;-1.573434319157206E+00;1.537138627893773E+02;
1.010000000000000E+09;-1.603302251672335E+00;1.531754286950338E+02;
1.011000000000000E+09;-1.642721714721868E+00;1.526344670589544E+02;
1.012000000000000E+09;-1.678200954413835E+00;1.520915670237905E+02;
1.013000000000000E+09;-1.713146649440910E+00;1.515618594458641E+02;
1.014000000000000E+09;-1.751063065389039E+00;1.509682163917512E+02;
1.015000000000000E+09;-1.791909884286720E+00;1.504141784293428E+02;
1.016000000000000E+09;-1.832447358141102E+00;1.498523347923367E+02;
1.017000000000000E+09;-1.872459147500174E+00;1.492266968082165E+02;
1.018000000000000E+09;-1.918318222352704E+00;1.486184061433178E+02;
1.019000000000000E+09;-1.965042179813227E+00;1.479967221770314E+02;
1.020000000000000E+09;-2.010993076304282E+00;1.473841737850616E+02;
1.021000000000000E+09;-2.059258117927870E+00;1.467445988208202E+02;
1.022000000000000E+09;-2.106021823820230E+00;1.460973567672325E+02;
1.023000000000000E+09;-2.160126217260378E+00;1.454705183768872E+02;
1.024000000000000E+09;-2.211398286960727E+00;1.448138129037021E+02;
1.025000000000000E+09;-2.266351839064536E+00;1.441626085715864E+02;
1.026000000000000E+09;-2.320020720224583E+00;1.434960002754019E+02;
1.027000000000000E+09;-2.368468009991570E+00;1.428608721641855E+02;
1.028000000000000E+09;-2.423014963736962E+00;1.421847889489304E+02;
1.029000000000000E+09;-2.478684045907825E+00;1.415316739560171E+02;
1.030000000000000E+09;-2.538656801254028E+00;1.408711396126771E+02;
1.031000000000000E+09;-2.594986964917534E+00;1.402105405047871E+02;
1.032000000000000E+09;-2.646574130872564E+00;1.395381332611996E+02;
1.033000000000000E+09;-2.700137546236395E+00;1.388861853308738E+02;
1.034000000000000E+09;-2.754497158591863E+00;1.382669892477497E+02;
1.035000000000000E+09;-2.810634138080585E+00;1.375925599282178E+02;
1.036000000000000E+09;-2.865023817311255E+00;1.369410337285547E+02;
1.037000000000000E+09;-2.915399761600639E+00;1.362761274801989E+02;
1.038000000000000E+09;-2.969679394667889E+00;1.356669678358952E+02;
1.039000000000000E+09;-3.018234112403531E+00;1.349876172823258E+02;
1.040000000000000E+09;-3.071183756118228E+00;1.343222475984967E+02;
1.041000000000000E+09;-3.123999850446576E+00;1.337167062690699E+02;
1.042000000000000E+09;-3.178510234629738E+00;1.330680566521930E+02;
1.043000000000000E+09;-3.231821486516219E+00;1.324041709995196E+02;
1.044000000000000E+09;-3.277840797921214E+00;1.317481823863733E+02;
1.045000000000000E+09;-3.330680941617783E+00;1.311829925309635E+02;
1.046000000000000E+09;-3.381420736872305E+00;1.305673633730975E+02;
1.047000000000000E+09;-3.429017625707038E+00;1.299529750670829E+02;
1.048000000000000E+09;-3.476735439629758E+00;1.293290879703495E+02;
1.049000000000000E+09;-3.522946475063786E+00;1.287506692780269E+02;
1.050000000000000E+09;-3.572571246778823E+00;1.281286453748965E+02;
1.051000000000000E+09;-3.618773358514968E+00;1.275464062491767E+02;
1.052000000000000E+09;-3.667060738123149E+00;1.269565466033776E+02;
1.053000000000000E+09;-3.715385304301677E+00;1.263860800891087E+02;
1.054000000000000E+09;-3.765356575219601E+00;1.257968260843193E+02;
1.055000000000000E+09;-3.804833631753495E+00;1.252077010888328E+02;
1.056000000000000E+09;-3.856524794438756E+00;1.246647030444455E+02;
1.057000000000000E+09;-3.904648939532751E+00;1.240850820728675E+02;
1.058000000000000E+09;-3.954797691987082E+00;1.235151774547027E+02;
1.059000000000000E+09;-4.005608383030857E+00;1.229562044106436E+02;
1.060000000000000E+09;-4.056821160184139E+00;1.223962980260157E+02;
1.061000000000000E+09;-4.110430710093888E+00;1.218603076637683E+02;
1.062000000000000E+09;-4.163072736391528E+00;1.212838848143603E+02;
1.063000000000000E+09;-4.222690381357531E+00;1.207532132687147E+02;
1.064000000000000E+09;-4.278146175277651E+00;1.202290448272538E+02;
1.065000000000000E+09;-4.340855588751912E+00;1.196681556151509E+02;
1.066000000000000E+09;-4.407802844025635E+00;1.191415425290034E+02;
1.067000000000000E+09;-4.471163718831739E+00;1.186317957084416E+02;
1.068000000000000E+09;-4.541274466628276E+00;1.181383045587013E+02;
1.069000000000000E+09;-4.610125490484493E+00;1.175902152446673E+02;
1.070000000000000E+09;-4.683625007049081E+00;1.170711201772323E+02;
1.071000000000000E+09;-4.757372116902333E+00;1.165646840501366E+02;
1.072000000000000E+09;-4.835994131554108E+00;1.160522117308825E+02;
1.073000000000000E+09;-4.920585866269768E+00;1.155238765886969E+02;
1.074000000000000E+09;-5.008601939561665E+00;1.150050174001267E+02;
1.075000000000000E+09;-5.101476519993452E+00;1.144705090952834E+02;
1.076000000000000E+09;-5.197846723415224E+00;1.139487762906530E+02;
1.077000000000000E+09;-5.304247695183173E+00;1.133655681282079E+02;
1.078000000000000E+09;-5.413201977003558E+00;1.128831018781224E+02;
1.079000000000000E+09;-5.530936328947340E+00;1.123492035836300E+02;
1.080000000000000E+09;-5.651284578670684E+00;1.117857440105457E+02;
1.081000000000000E+09;-5.784775309920931E+00;1.112428239896045E+02;
1.082000000000000E+09;-5.922288986611660E+00;1.107460870209710E+02;
1.083000000000000E+09;-6.066990014982800E+00;1.101862677031856E+02;
1.084000000000000E+09;-6.228380221709568E+00;1.096523866402690E+02;
1.085000000000000E+09;-6.400739478609065E+00;1.091949003000349E+02;
1.086000000000000E+09;-6.580212849804191E+00;1.086895381412491E+02;
1.087000000000000E+09;-6.771218848866276E+00;1.082528460239230E+02;
1.088000000000000E+09;-6.971060750644099E+00;1.078148768724572E+02;
1.089000000000000E+09;-7.171316876684644E+00;1.074383368530758E+02;
1.090000000000000E+09;-7.390008937102859E+00;1.070618196731771E+02;
1.091000000000000E+09;-7.617609286338297E+00;1.067039770407470E+02;
1.092000000000000E+09;-7.856659783311501E+00;1.063854145446770E+02;
