# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.345799176006824E+00;1.580524405779924E+02;
1.001000000000000E+09;-1.369055949779579E+00;1.576144522808248E+02;
1.002000000000000E+09;-1.397741208164198E+00;1.571672574841950E+02;
1.003000000000000E+09;-1.421366196409878E+00;1.567343038876420E+02;
1.004000000000000E+09;-1.450511848774621E+00;1.562527505254568E+02;
1.005000000000000E+09;-1.477835236447316E+00;1.558020209311143E+02;
1.006000000000000E+09;-1.504891962035165E+00;1.553258003849128E+02;
1.007000000000000E+09;-1.537294990968191E+00;1.548394092852414E+02;
1.008000000000000E+09;-1.570321691461365E+00;1.543548144065152E+02;
1.009000000000000E+09;-1.604631703242032E+00;1.538448853948705E+02;
1.010000000000000E+09;-1.635406361476873E+00;1.533145813980519E+02;
1.011000000000000E+09;-1.673958102058722E+00;1.527699274725105E+02;
1.012000000000000E+09;-1.710454576407030E+00;1.522276291088966E+02;
1.013000000000000E+09;-1.749631297057241E+00;1.516713438839736E+02;
1.014000000000000E+09;-1.790045966415390E+00;1.510766713826234E+02;
1.015000000000000E+09;-1.833845486550545E+00;1.505083642472705E+02;
1.016000000000000E+09;-1.876611094414734E+00;1.499175691892814E+02;
1.017000000000000E+09;-1.919464849819045E+00;1.493007856632803E+02;
1.018000000000000E+09;-1.966961296315788E+00;1.486736053660618E+02;
1.019000000000000E+09;-2.017472436867273E+00;1.480443617129800E+02;
1.020000000000000E+09;-2.064896494757271E+00;1.474109888633486E+02;
1.021000000000000E+09;-2.116677389534306E+00;1.467479362174259E+02;
1.022000000000000E+09;-2.167574437105400E+00;1.460963806470248E+02;
1.023000000000000E+09;-2.222924172331752E+00;1.454128228833747E+02;
1.024000000000000E+09;-2.276573390524428E+00;1.447625500432109E+02;
1.025000000000000E+09;-2.335207882689610E+00;1.440583246682930E+02;
1.026000000000000E+09;-2.396774369464740E+00;1.433906600763773E+02;
1.027000000000000E+09;-2.451307814277203E+00;1.427115742023119E+02;
1.028000000000000E+09;-2.513319289654321E+00;1.420025861376314E+02;
1.029000000000000E+09;-2.570765504606683E+00;1.413186469420143E+02;
1.030000000000000E+09;-2.631198013953273E+00;1.406297915250041E+02;
1.031000000000000E+09;-2.692283632883758E+00;1.399142670848525E+02;
1.032000000000000E+09;-2.757564270359985E+00;1.392100929205718E+02;
1.033000000000000E+09;-2.817206946820010E+00;1.384890608127930E+02;
1.034000000000000E+09;-2.877476871886847E+00;1.378298696700049E+02;
1.035000000000000E+09;-2.939055338958736E+00;1.371439706224879E+02;
