# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.365639953563059E+00;1.575983514874813E+02;
1.001000000000000E+09;-1.390457605139496E+00;1.571607843965322E+02;
1.002000000000000E+09;-1.414521874411787E+00;1.567213491391194E+02;
1.003000000000000E+09;-1.438916952748356E+00;1.562507866268015E+02;
1.004000000000000E+09;-1.468690299635578E+00;1.557833685406012E+02;
1.005000000000000E+09;-1.494140506803501E+00;1.553608521878612E+02;
1.006000000000000E+09;-1.525063493908837E+00;1.548554893761726E+02;
1.007000000000000E+09;-1.558281061425179E+00;1.543552624598695E+02;
1.008000000000000E+09;-1.586903601659204E+00;1.538860895593612E+02;
1.009000000000000E+09;-1.619828447854506E+00;1.533876231014182E+02;
1.010000000000000E+09;-1.653540818634948E+00;1.528551363108584E+02;
1.011000000000000E+09;-1.695183160698036E+00;1.523098688134818E+02;
1.012000000000000E+09;-1.728445517558217E+00;1.517660385136029E+02;
1.013000000000000E+09;-1.765379025352374E+00;1.512236451293905E+02;
1.014000000000000E+09;-1.804698624000180E+00;1.506437065128990E+02;
1.015000000000000E+09;-1.848933253674934E+00;1.500730205505316E+02;
1.016000000000000E+09;-1.889033338372673E+00;1.494798315734906E+02;
1.017000000000000E+09;-1.929886635276186E+00;1.488663730381152E+02;
1.018000000000000E+09;-1.979428643405202E+00;1.482495314517020E+02;
1.019000000000000E+09;-2.026541236138432E+00;1.476347152479962E+02;
1.020000000000000E+09;-2.075421013882928E+00;1.469994675258750E+02;
1.021000000000000E+09;-2.123262193064315E+00;1.463542705702822E+02;
1.022000000000000E+09;-2.173659210644719E+00;1.457022530343789E+02;
1.023000000000000E+09;-2.228863381049844E+00;1.450404923113953E+02;
1.024000000000000E+09;-2.284489024946193E+00;1.443842831752192E+02;
1.025000000000000E+09;-2.341172396785297E+00;1.437087166637093E+02;
1.026000000000000E+09;-2.396737174873671E+00;1.430243616038924E+02;
1.027000000000000E+09;-2.450374473209980E+00;1.423621060948059E+02;
1.028000000000000E+09;-2.509145903191452E+00;1.416641514359677E+02;
1.029000000000000E+09;-2.567251398138019E+00;1.409914870255029E+02;
1.030000000000000E+09;-2.628181239249653E+00;1.403111106891309E+02;
1.031000000000000E+09;-2.688064991640911E+00;1.396007778051251E+02;
1.032000000000000E+09;-2.746116216002706E+00;1.389329129034183E+02;
1.033000000000000E+09;-2.806671975637507E+00;1.382267921385829E+02;
1.034000000000000E+09;-2.867924785605924E+00;1.375609498430596E+02;
1.035000000000000E+09;-2.926727993043902E+00;1.368731189193239E+02;
1.036000000000000E+09;-2.986760180792141E+00;1.361940285088466E+02;
1.037000000000000E+09;-3.047139415506002E+00;1.354979652637339E+02;
1.038000000000000E+09;-3.103601694329235E+00;1.348713811357790E+02;
1.039000000000000E+09;-3.166205998026633E+00;1.341915168749320E+02;
1.040000000000000E+09;-3.218317051773882E+00;1.335086999084440E+02;
1.041000000000000E+09;-3.281589218502842E+00;1.328590491356424E+02;
1.042000000000000E+09;-3.339335210372758E+00;1.321854365873946E+02;
1.043000000000000E+09;-3.398361349049282E+00;1.315218720416949E+02;
1.044000000000000E+09;-3.451885759091119E+00;1.308493764464114E+02;
1.045000000000000E+09;-3.509235824354418E+00;1.302734748001818E+02;
1.046000000000000E+09;-3.558276190412722E+00;1.295990311781593E+02;
1.047000000000000E+09;-3.613388147782271E+00;1.289613811957831E+02;
1.048000000000000E+09;-3.669545760143002E+00;1.283130446139364E+02;
1.049000000000000E+09;-3.716683543655767E+00;1.277052515606258E+02;
1.050000000000000E+09;-3.775566146129043E+00;1.270937480451114E+02;
1.051000000000000E+09;-3.827543712614399E+00;1.264954275635187E+02;
1.052000000000000E+09;-3.880286230612536E+00;1.258920062028166E+02;
1.053000000000000E+09;-3.930520756971686E+00;1.253206306930861E+02;
1.054000000000000E+09;-3.983949545271310E+00;1.246776782030679E+02;
1.055000000000000E+09;-4.028806698234729E+00;1.241080894902792E+02;
1.056000000000000E+09;-4.087144653499329E+00;1.235352604918327E+02;
1.057000000000000E+09;-4.137302449652004E+00;1.229689429001858E+02;
1.058000000000000E+09;-4.188709025414735E+00;1.223894896623505E+02;
1.059000000000000E+09;-4.243094364492158E+00;1.218332703989588E+02;
1.060000000000000E+09;-4.296490220848931E+00;1.212703770253234E+02;
1.061000000000000E+09;-4.348130490672788E+00;1.207121533242941E+02;
1.062000000000000E+09;-4.405057176123505E+00;1.201301631809441E+02;
1.063000000000000E+09;-4.462111700424575E+00;1.196042069083995E+02;
1.064000000000000E+09;-4.516985367061167E+00;1.190719328636489E+02;
1.065000000000000E+09;-4.581199109984798E+00;1.184975645954950E+02;
1.066000000000000E+09;-4.645604311637152E+00;1.179408524181584E+02;
1.067000000000000E+09;-4.708321162329489E+00;1.174081524178982E+02;
1.068000000000000E+09;-4.777594054445467E+00;1.168772005079511E+02;
1.069000000000000E+09;-4.847502803201056E+00;1.162946256915165E+02;
1.070000000000000E+09;-4.920393461980995E+00;1.157492017736613E+02;
1.071000000000000E+09;-4.997539961335066E+00;1.152214013600317E+02;
1.072000000000000E+09;-5.081475653930669E+00;1.146604013194404E+02;
1.073000000000000E+09;-5.167072451561312E+00;1.141198305241642E+02;
1.074000000000000E+09;-5.252120319704606E+00;1.135914914225781E+02;
1.075000000000000E+09;-5.351654095241948E+00;1.130499721914682E+02;
1.076000000000000E+09;-5.447950360094157E+00;1.124569258950243E+02;
1.077000000000000E+09;-5.555876342916315E+00;1.118718401795592E+02;
1.078000000000000E+09;-5.668978561508604E+00;1.113543753515965E+02;
1.079000000000000E+09;-5.789752813813521E+00;1.107991133885244E+02;
