# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.291810374048105E+00;1.576505691022668E+02;
1.001000000000000E+09;-1.309804824107089E+00;1.572007041385217E+02;
1.002000000000000E+09;-1.334898336259134E+00;1.567533036953193E+02;
1.003000000000000E+09;-1.361221429672875E+00;1.563001342681071E+02;
1.004000000000000E+09;-1.388858057846691E+00;1.558250037110479E+02;
1.005000000000000E+09;-1.416695277604417E+00;1.553652282736260E+02;
1.006000000000000E+09;-1.443941314157700E+00;1.548798947416106E+02;
1.007000000000000E+09;-1.477243892244072E+00;1.543807367709518E+02;
1.008000000000000E+09;-1.507265116600586E+00;1.538963614196404E+02;
1.009000000000000E+09;-1.538080714735166E+00;1.533858953368535E+02;
1.010000000000000E+09;-1.571127385426959E+00;1.528715083438202E+02;
1.011000000000000E+09;-1.609409150744430E+00;1.523261090633387E+02;
1.012000000000000E+09;-1.644230846763934E+00;1.517934310044010E+02;
1.013000000000000E+09;-1.677519917044321E+00;1.512497497870787E+02;
1.014000000000000E+09;-1.717855587157999E+00;1.506857307318889E+02;
1.015000000000000E+09;-1.759306227578169E+00;1.501417339704301E+02;
1.016000000000000E+09;-1.797396104715713E+00;1.495568132963040E+02;
1.017000000000000E+09;-1.837372560994279E+00;1.489512017446784E+02;
1.018000000000000E+09;-1.881800820391595E+00;1.483524013331197E+02;
1.019000000000000E+09;-1.927687329351714E+00;1.477506401826377E+02;
1.020000000000000E+09;-1.970056439271807E+00;1.471628292258009E+02;
1.021000000000000E+09;-2.013909188769771E+00;1.465263836533729E+02;
1.022000000000000E+09;-2.059917718819612E+00;1.458871445984983E+02;
1.023000000000000E+09;-2.109180411860607E+00;1.452612604155043E+02;
1.024000000000000E+09;-2.158382263191198E+00;1.446246516208005E+02;
1.025000000000000E+09;-2.210494272412639E+00;1.439799921366568E+02;
1.026000000000000E+09;-2.259925484761164E+00;1.433195881074751E+02;
1.027000000000000E+09;-2.309087202068547E+00;1.426795419031789E+02;
1.028000000000000E+09;-2.357260119819951E+00;1.420079525070137E+02;
1.029000000000000E+09;-2.408072672220666E+00;1.413511833969395E+02;
1.030000000000000E+09;-2.463487794278676E+00;1.406809807300911E+02;
1.031000000000000E+09;-2.514258833307720E+00;1.400381228599593E+02;
1.032000000000000E+09;-2.566605106545788E+00;1.393564696564322E+02;
1.033000000000000E+09;-2.616682422681841E+00;1.386871308347121E+02;
1.034000000000000E+09;-2.665902068782283E+00;1.380474271373646E+02;
1.035000000000000E+09;-2.718731379354202E+00;1.373800271403067E+02;
1.036000000000000E+09;-2.768360285125284E+00;1.367296876965418E+02;
1.037000000000000E+09;-2.819255610354701E+00;1.360268753994292E+02;
1.038000000000000E+09;-2.868091073549433E+00;1.353832694127846E+02;
1.039000000000000E+09;-2.915986332525394E+00;1.347478530345491E+02;
1.040000000000000E+09;-2.962154842928522E+00;1.340920913416880E+02;
1.041000000000000E+09;-3.016182972074750E+00;1.334513855886613E+02;
1.042000000000000E+09;-3.061703228657293E+00;1.328080352233518E+02;
1.043000000000000E+09;-3.113853008063239E+00;1.321353766469513E+02;
1.044000000000000E+09;-3.157883131852909E+00;1.314741354118299E+02;
1.045000000000000E+09;-3.206945852268201E+00;1.308862065741466E+02;
1.046000000000000E+09;-3.252416262885563E+00;1.302591370422314E+02;
1.047000000000000E+09;-3.297097224157493E+00;1.296060400547982E+02;
1.048000000000000E+09;-3.345635802337740E+00;1.289953862490204E+02;
1.049000000000000E+09;-3.393283304175508E+00;1.284010335887627E+02;
1.050000000000000E+09;-3.437019036610449E+00;1.277956562258706E+02;
1.051000000000000E+09;-3.480576226620612E+00;1.272146977120989E+02;
1.052000000000000E+09;-3.528458160523515E+00;1.266273072195364E+02;
1.053000000000000E+09;-3.575906383943559E+00;1.260537335512203E+02;
1.054000000000000E+09;-3.625538036954274E+00;1.254477819781737E+02;
1.055000000000000E+09;-3.664463427416802E+00;1.248851045205973E+02;
1.056000000000000E+09;-3.711473360705257E+00;1.243133264164066E+02;
1.057000000000000E+09;-3.757790981542174E+00;1.237509454463634E+02;
1.058000000000000E+09;-3.806694163115345E+00;1.231793847986541E+02;
1.059000000000000E+09;-3.853528643531718E+00;1.226381299009988E+02;
1.060000000000000E+09;-3.903170367618343E+00;1.220662923364083E+02;
1.061000000000000E+09;-3.951937476756493E+00;1.215204826052824E+02;
1.062000000000000E+09;-4.003465861541437E+00;1.209422548560062E+02;
1.063000000000000E+09;-4.059754377198795E+00;1.204353819374552E+02;
1.064000000000000E+09;-4.110884709696656E+00;1.198983984242028E+02;
1.065000000000000E+09;-4.172151240689113E+00;1.193692880761534E+02;
1.066000000000000E+09;-4.233946097897702E+00;1.188316483359132E+02;
1.067000000000000E+09;-4.293679168464029E+00;1.183072913335051E+02;
1.068000000000000E+09;-4.361062258265692E+00;1.177959539633825E+02;
1.069000000000000E+09;-4.428676566657212E+00;1.172459565860593E+02;
1.070000000000000E+09;-4.499547519688316E+00;1.167047102906472E+02;
1.071000000000000E+09;-4.576524366376990E+00;1.162108768403792E+02;
1.072000000000000E+09;-4.652732012793811E+00;1.156599863679830E+02;
1.073000000000000E+09;-4.730639469783203E+00;1.151228697685047E+02;
1.074000000000000E+09;-4.820825191492712E+00;1.145853316350681E+02;
1.075000000000000E+09;-4.908809605904360E+00;1.140305181504026E+02;
