# Version 1.00
#
freq[Hz];db:Trc4_S11;ang:Trc4_S11;
1.000000000000000E+09;-1.323254965885071E+00;1.578076244639311E+02;
1.001000000000000E+09;-1.344784524696499E+00;1.573725957604881E+02;
1.002000000000000E+09;-1.371178465326270E+00;1.569175009150466E+02;
1.003000000000000E+09;-1.399886440386509E+00;1.564691826803495E+02;
1.004000000000000E+09;-1.427232534765943E+00;1.559867078709194E+02;
1.005000000000000E+09;-1.455440701047316E+00;1.555378646128692E+02;
1.006000000000000E+09;-1.482359152113525E+00;1.550655249594349E+02;
1.007000000000000E+09;-1.519197423477440E+00;1.545578458929791E+02;
1.008000000000000E+09;-1.552152602506114E+00;1.540800297097256E+02;
1.009000000000000E+09;-1.585217750182162E+00;1.535722694330279E+02;
1.010000000000000E+09;-1.618894284769722E+00;1.530438492224678E+02;
1.011000000000000E+09;-1.660153196401472E+00;1.525016827360232E+02;
1.012000000000000E+09;-1.697751291175197E+00;1.519640003808641E+02;
1.013000000000000E+09;-1.732704052975191E+00;1.514267319397863E+02;
1.014000000000000E+09;-1.772179637206511E+00;1.508650815833978E+02;
1.015000000000000E+09;-1.818318466036280E+00;1.502976136625688E+02;
1.016000000000000E+09;-1.859192539683245E+00;1.497107673988728E+02;
1.017000000000000E+09;-1.900817570013874E+00;1.491191982824794E+02;
1.018000000000000E+09;-1.946724698112429E+00;1.485084635304057E+02;
1.019000000000000E+09;-1.994969094704648E+00;1.478958705057495E+02;
1.020000000000000E+09;-2.041373642522958E+00;1.472869213765107E+02;
1.021000000000000E+09;-2.088783080163811E+00;1.466390938240180E+02;
1.022000000000000E+09;-2.137738278239523E+00;1.459960606140083E+02;
1.023000000000000E+09;-2.192599160069766E+00;1.453479044504332E+02;
1.024000000000000E+09;-2.244464743867784E+00;1.447197482825221E+02;
1.025000000000000E+09;-2.302373294116276E+00;1.440232245243277E+02;
1.026000000000000E+09;-2.355435665286640E+00;1.433768794805060E+02;
1.027000000000000E+09;-2.404603943068127E+00;1.427354736696531E+02;
1.028000000000000E+09;-2.463707773333347E+00;1.420203816304028E+02;
1.029000000000000E+09;-2.517672449357053E+00;1.413752907213076E+02;
1.030000000000000E+09;-2.575082145257036E+00;1.406885518861693E+02;
1.031000000000000E+09;-2.636033593791759E+00;1.400064331235899E+02;
1.032000000000000E+09;-2.689901312081474E+00;1.393226569771624E+02;
1.033000000000000E+09;-2.745296665752808E+00;1.386400632985503E+02;
1.034000000000000E+09;-2.802207633997304E+00;1.379826430601366E+02;
1.035000000000000E+09;-2.861317689889166E+00;1.373014249957269E+02;
1.036000000000000E+09;-2.920251848083951E+00;1.366175310664962E+02;
